# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
   0.0284191           0           0           0
   0.0852574           0           0           0
    0.142096  0.00651621  0.00651621           0
    0.198934   0.0155924   0.0155924           0
    0.255772   0.0139633   0.0139633           0
    0.312611   0.0172214   0.0172214           0
    0.369449   0.0260648   0.0260648           0
    0.426287   0.0370028   0.0370028           0
    0.483126   0.0502679   0.0502679           0
    0.539964   0.0472425   0.0472425           0
    0.596802   0.0944851   0.0944851           0
     0.65364    0.122412    0.122412           0
    0.710479    0.122412    0.122412           0
    0.767317    0.272517    0.272517           0
    0.824155    0.225275    0.225275           0
    0.880994    0.181523    0.181523           0
    0.937832    0.227369    0.227369           0
     0.99467    0.222249    0.222249           0
     1.05151    0.256459    0.256459           0
     1.10835    0.248081    0.248081           0
     1.16519    0.268096    0.268096           0
     1.22202      0.2283      0.2283           0
     1.27886     0.34885     0.34885           0
      1.3357     0.41727     0.41727           0
     1.39254    0.273681    0.273681           0
     1.44938    0.449851    0.449851           0
     1.50621      0.3172      0.3172           0
     1.56305    0.370028    0.370028           0
     1.61989    0.544569    0.544569           0
     1.67673    0.498025    0.498025           0
     1.73357    0.447059    0.447059           0
     1.79041    0.166163    0.166163           0
     1.84724     0.37282     0.37282           0
     1.90408    0.380733    0.380733           0
     1.96092    0.293695    0.293695           0
     2.01776    0.269259    0.269259           0
      2.0746    0.373286    0.373286           0
     2.13144    0.205028    0.205028           0
     2.18827    0.404238    0.404238           0
     2.24511     0.72935     0.72935           0
     2.30195    0.516177    0.516177           0
     2.35879    0.562721    0.562721           0
     2.41563    0.168258    0.168258           0
     2.47247    0.213639    0.213639           0
      2.5293     0.28555     0.28555           0
     2.58614    0.445662    0.445662           0
     2.64298    0.628349    0.628349           0
     2.69982    0.342334    0.342334           0
     2.75666    0.347686    0.347686           0
      2.8135    0.309753    0.309753           0
     2.87033    0.292299    0.292299           0
     2.92717    0.238307    0.238307           0
     2.98401    0.134746    0.134746           0
     3.04085   0.0777291   0.0777291           0
     3.09769    0.135211    0.135211           0
     3.15453   0.0707474   0.0707474           0
     3.21136    0.216431    0.216431           0
      3.2682    0.145451    0.145451           0
     3.32504    0.168258    0.168258           0
     3.38188     0.19153     0.19153           0
     3.43872    0.200374    0.200374           0
     3.49556    0.303237    0.303237           0
     3.55239    0.112172    0.112172           0
     3.60923    0.222948    0.222948           0
     3.66607     0.14964     0.14964           0
     3.72291    0.150571    0.150571           0
     3.77975    0.095416    0.095416           0
     3.83659    0.131022    0.131022           0
     3.89342   0.0639985   0.0639985           0
     3.95026   0.0432863   0.0432863           0
      4.0071   0.0656276   0.0656276           0
     4.06394    0.103794    0.103794           0
     4.12078    0.120317    0.120317           0
     4.17761   0.0332792   0.0332792           0
     4.23445   0.0204795   0.0204795           0
     4.29129   0.0765655   0.0765655           0
     4.34813    0.026763    0.026763           0
     4.40497   0.0444499   0.0444499           0
     4.46181   0.0335119   0.0335119           0
     4.51864    0.120783    0.120783           0
     4.57548   0.0726092   0.0726092           0
     4.63232   0.0737728   0.0737728           0
     4.68916   0.0195486   0.0195486           0
       4.746   0.0472425   0.0472425           0
     4.80284   0.0460789   0.0460789           0
     4.85967   0.0165233   0.0165233           0
     4.91651   0.0360719   0.0360719           0
     4.97335   0.0200141   0.0200141           0
     5.03019  0.00651621  0.00651621           0
     5.08703  0.00558532  0.00558532           0
     5.14387  0.00837799  0.00837799           0
      5.2007 0.000232722 0.000232722           0
     5.25754 0.000232722 0.000232722           0
     5.31438 0.000232722 0.000232722           0
     5.37122 0.000232722 0.000232722           0
     5.42806    0.053526    0.053526           0
      5.4849   0.0104725   0.0104725           0
     5.54173  0.00581805  0.00581805           0
     5.59857  0.00442172  0.00442172           0
     5.65541  0.00395627  0.00395627           0
   0.0284191           0           0           0
   0.0852574   0.0139633  0.00698166  0.00493678
    0.142096   0.0388645   0.0226904   0.0114369
    0.198934    0.117757   0.0666748   0.0361207
    0.255772    0.113568   0.0637658   0.0352157
    0.312611   0.0474753   0.0323483   0.0106963
    0.369449   0.0130324   0.0195486  0.00460766
    0.426287   0.0109379   0.0239703  0.00921531
    0.483126   0.0637658   0.0570169  0.00477222
    0.539964   0.0437517   0.0454971  0.00123419
    0.596802    0.106121    0.100303  0.00411398
     0.65364    0.153829     0.13812   0.0111077
    0.710479    0.118455    0.120434  0.00139875
    0.767317    0.143357    0.207937   0.0456652
    0.824155    0.175007    0.200141   0.0177724
    0.880994    0.263674    0.222598   0.0290447
    0.937832     0.12311     0.17524   0.0368613
     0.99467    0.156855    0.189552   0.0231206
     1.05151    0.199675    0.228067   0.0200762
     1.10835    0.170352    0.209217   0.0274814
     1.16519    0.244358    0.256227  0.00839252
     1.22202    0.223646    0.225973  0.00164559
     1.27886     0.29672    0.322785   0.0184306
      1.3357    0.393998    0.405634  0.00822796
     1.39254    0.265303    0.269492  0.00296207
     1.44938    0.412616    0.431234   0.0131647
     1.50621    0.517108    0.417154   0.0706782
     1.56305    0.332792     0.35141   0.0131647
     1.61989    0.837566    0.691068     0.10359
     1.67673    0.315338    0.406681   0.0645895
     1.73357    0.406332    0.426695   0.0143989
     1.79041    0.376544    0.271354   0.0743808
     1.84724    0.213639     0.29323   0.0562792
     1.90408    0.239936    0.310335   0.0497792
     1.96092    0.243194    0.268445   0.0178547
     2.01776    0.319294    0.294277   0.0176901
      2.0746    0.635796    0.504541   0.0928114
     2.13144    0.655112     0.43007    0.159129
     2.18827    0.604146    0.504192   0.0706782
     2.24511     0.41215     0.57075    0.112147
     2.30195    0.283688    0.399932   0.0821973
     2.35879    0.308124    0.435423   0.0900139
     2.41563    0.409125    0.288691   0.0851594
     2.47247    0.500352    0.356995    0.101368
      2.5293    0.286015    0.285782 0.000164559
     2.58614    0.202235    0.323949   0.0860645
     2.64298    0.255529    0.441939    0.131812
     2.69982    0.345126     0.34373 0.000987355
     2.75666    0.164069    0.255878   0.0649186
      2.8135    0.210148     0.25995   0.0352157
     2.87033    0.205028    0.248663   0.0308548
     2.92717    0.399118    0.318713   0.0568552
     2.98401    0.225042    0.179894   0.0319245
     3.04085    0.222249    0.149989   0.0510956
     3.09769    0.300211    0.217711   0.0583362
     3.15453    0.129626    0.100187   0.0208167
     3.21136     0.07866    0.147546   0.0487095
      3.2682    0.107517    0.126484   0.0134116
     3.32504    0.152666    0.160462  0.00551273
     3.38188    0.161044    0.176287   0.0107786
     3.43872    0.386318    0.293346   0.0657414
     3.49556    0.227369    0.265303   0.0268231
     3.55239    0.379569    0.245871   0.0945393
     3.60923    0.179894    0.201421   0.0152217
     3.66607    0.182221    0.165931   0.0115191
     3.72291   0.0919251    0.121248   0.0207345
     3.77975   0.0847108   0.0900634  0.00378486
     3.83659   0.0772637    0.104143   0.0190066
     3.89342   0.0856416   0.0748201    0.007652
     3.95026   0.0246685   0.0339774  0.00658237
      4.0071  0.00488716   0.0352574    0.021475
     4.06394   0.0151269   0.0594604   0.0313485
     4.12078   0.0255994   0.0729583   0.0334878
     4.17761   0.0121015   0.0226904  0.00748744
     4.23445   0.0563187   0.0383991   0.0126711
     4.29129   0.0132651   0.0449153   0.0223801
     4.34813   0.0381664   0.0324647   0.0040317
     4.40497   0.0956487   0.0700493   0.0181015
     4.46181    0.056086    0.044799  0.00798112
     4.51864   0.0274612   0.0741219   0.0329941
     4.57548   0.0446826   0.0586459  0.00987355
     4.63232   0.0374682   0.0556205   0.0128356
     4.68916 0.000232722  0.00989068  0.00682921
       4.746    0.163138     0.10519   0.0409752
     4.80284    0.115197   0.0806381    0.024437
     4.85967   0.0481734   0.0323483     0.01119
     4.91651 0.000232722   0.0181523   0.0126711
     4.97335 0.000232722   0.0101234  0.00699377
     5.03019 0.000232722  0.00337447  0.00222155
     5.08703 0.000465444  0.00302538  0.00181015
     5.14387 0.000232722  0.00430535  0.00287979
      5.2007 0.000232722 0.000232722           0
     5.25754 0.000465444 0.000349083 8.22796e-05
     5.31438 0.000465444 0.000349083 8.22796e-05
     5.37122 0.000698166 0.000465444 0.000164559
     5.42806    0.125437   0.0894815   0.0254244
      5.4849    0.012567   0.0115197 0.000740516
     5.54173  0.00884343  0.00733074  0.00106963
     5.59857  0.00581805  0.00511988 0.000493678
     5.65541           0  0.00197814  0.00139875
   0.0284191           0           0           0
   0.0852574           0  0.00465444  0.00380033
    0.142096           0   0.0151269   0.0098118
    0.198934   0.0232722   0.0522073   0.0268218
    0.255772    0.139633   0.0890549   0.0312655
    0.312611   0.0230395   0.0292454   0.0075676
    0.369449   0.0337447   0.0242806  0.00493596
    0.426287   0.0249012   0.0242806  0.00614877
    0.483126   0.0195486   0.0445274   0.0106823
    0.539964   0.0502679   0.0470874  0.00153719
    0.596802   0.0502679   0.0836247   0.0138913
     0.65364   0.0823835    0.119541   0.0168806
    0.710479   0.0791254    0.106664   0.0112813
    0.767317    0.150804    0.188893   0.0341847
    0.824155    0.156622    0.185634   0.0167532
    0.880994    0.208053     0.21775   0.0197637
    0.937832     0.37026    0.240247   0.0584907
     0.99467    0.252503    0.210536   0.0230462
     1.05151    0.175938    0.210691   0.0195047
     1.10835    0.141262    0.186565    0.026033
     1.16519    0.103794    0.205416   0.0418625
     1.22202    0.162673    0.204873   0.0172631
     1.27886    0.410056    0.351875    0.026742
      1.3357    0.353504    0.388258   0.0152114
     1.39254    0.363744    0.300909   0.0257281
     1.44938    0.283222    0.381897   0.0412285
     1.50621    0.363744    0.399351   0.0493101
     1.56305    0.592743    0.431854   0.0662662
     1.61989    0.413547    0.598561    0.102344
     1.67673    0.482665    0.432009   0.0477682
     1.73357    0.503145    0.452179   0.0229144
     1.79041    0.311382    0.284696   0.0507698
     1.84724    0.219689    0.268716   0.0425243
     1.90408    0.318363    0.313011    0.033258
     1.96092    0.479872    0.338921   0.0587616
     2.01776    0.609499    0.399351   0.0865993
      2.0746    0.367235    0.458772   0.0722837
     2.13144    0.399816    0.419985    0.106405
     2.18827    0.665119    0.557834   0.0643313
     2.24511    0.510592    0.550697   0.0765365
     2.30195    0.293695     0.36452   0.0619587
     2.35879    0.207122    0.359323   0.0863824
     2.41563    0.224344    0.267242   0.0594128
     2.47247    0.602517    0.438836   0.0950377
      2.5293    0.235515    0.269026   0.0136816
     2.58614    0.260416    0.302771   0.0599253
     2.64298    0.296488    0.393455   0.0963798
     2.69982    0.278568    0.322009   0.0177471
     2.75666    0.299978    0.270578   0.0449126
      2.8135    0.394929    0.304943   0.0435976
     2.87033    0.296488    0.264605   0.0243422
     2.92717    0.327207    0.321544   0.0379739
     2.98401    0.181988    0.180592   0.0212906
     3.04085     0.14452    0.148166   0.0340963
     3.09769    0.169887     0.20177   0.0410112
     3.15453    0.296022    0.165465   0.0550767
     3.21136    0.258089    0.184393   0.0442681
      3.2682    0.159182    0.137383   0.0126149
     3.32504     0.17873    0.166551  0.00618292
     3.38188    0.319993    0.224189   0.0397664
     3.43872    0.124739    0.237144    0.063456
     3.49556    0.386318    0.305641   0.0374775
     3.55239    0.144055    0.211932    0.068849
     3.60923   0.0793581    0.160733   0.0347366
     3.66607    0.070282    0.134048   0.0271413
     3.72291   0.0509661   0.0978207   0.0236002
     3.77975   0.0437517   0.0746261   0.0128545
     3.83659   0.0428208   0.0837023   0.0209548
     3.89342   0.0472425   0.0656276  0.00907516
     3.95026   0.0600422   0.0426657  0.00834151
      4.0071   0.0600422    0.043519   0.0158262
     4.06394    0.084478   0.0677996   0.0219802
     4.12078   0.0509661   0.0656276   0.0231137
     4.17761    0.111241   0.0522073   0.0246119
     4.23445   0.0444499    0.040416   0.0086064
     4.29129   0.0681875   0.0526727   0.0162088
     4.34813    0.117292   0.0607404   0.0232429
     4.40497    0.114266   0.0847883   0.0170427
     4.46181     0.14452   0.0780394   0.0276573
     4.51864   0.0430535   0.0637658   0.0235654
     4.57548   0.0190832   0.0454583   0.0126202
     4.63232  0.00930887   0.0401833   0.0152347
     4.68916  0.00884343   0.0095416  0.00456172
       4.746   0.0246685   0.0783497   0.0350212
     4.80284   0.0646967   0.0753243   0.0168592
     4.85967   0.0865725   0.0504231   0.0165363
     4.91651    0.112405   0.0495698   0.0270073
     4.97335   0.0288575   0.0163681  0.00690916
     5.03019   0.0295557   0.0121015  0.00727791
     5.08703           0  0.00201692  0.00146092
     5.14387           0  0.00287024   0.0022492
      5.2007           0 0.000155148 6.33389e-05
     5.25754           0 0.000232722 0.000109706
     5.31438           0 0.000232722 0.000109706
     5.37122           0 0.000310296 0.000167579
     5.42806           0   0.0596544   0.0296715
      5.4849           0  0.00767982   0.0031739
     5.54173           0  0.00488716  0.00211878
     5.59857           0  0.00341325  0.00143179
     5.65541           0  0.00131876  0.00107676
   0.0284191           0           0           0
   0.0852574           0  0.00349083  0.00302315
    0.142096  0.00139633   0.0116943  0.00793662
    0.198934   0.0176869   0.0435772   0.0214599
    0.255772   0.0530606   0.0800563   0.0247102
    0.312611   0.0598095   0.0368864  0.00871795
    0.369449   0.0344428   0.0268212  0.00430644
    0.426287   0.0283921   0.0253085   0.0046967
    0.483126   0.0314174   0.0412499  0.00849968
    0.539964   0.0344428   0.0439262  0.00297048
    0.596802   0.0498025   0.0751692   0.0127345
     0.65364   0.0584132    0.104259   0.0183151
    0.710479   0.0584132   0.0946014   0.0134432
    0.767317    0.111241     0.16948   0.0306591
    0.824155    0.126368    0.170818    0.017959
    0.880994    0.137073    0.197581   0.0229088
    0.937832    0.141262      0.2155   0.0488229
     0.99467    0.339076    0.242671   0.0327605
     1.05151    0.146847     0.19473    0.020126
     1.10835    0.136142     0.17396   0.0223695
     1.16519    0.182454    0.199675    0.031788
     1.22202    0.257623     0.21806   0.0172646
     1.27886    0.293928    0.337388   0.0236573
      1.3357    0.439146     0.40098   0.0158601
     1.39254    0.240402    0.285782   0.0233229
     1.44938    0.153596    0.324822   0.0583035
     1.50621    0.212242    0.352574   0.0548524
     1.56305    0.427975    0.430884   0.0497067
     1.61989    0.629978    0.606415   0.0770588
     1.67673    0.452179    0.437052   0.0360913
     1.73357    0.401212    0.439437   0.0204233
     1.79041    0.358857    0.303237   0.0413242
     1.84724    0.273681    0.269957   0.0319113
     1.90408    0.373751    0.328196   0.0281978
     1.96092    0.270423    0.321796   0.0464995
     2.01776    0.582503    0.445139   0.0760976
      2.0746    0.473124     0.46236   0.0543018
     2.13144    0.507566    0.441881   0.0820255
     2.18827    0.467305    0.535202   0.0520776
     2.24511    0.717016    0.592277    0.067762
     2.30195    0.421692    0.378813   0.0480893
     2.35879    0.281593     0.33989   0.0669368
     2.41563    0.411219    0.303237   0.0543806
     2.47247    0.280663    0.399293   0.0790781
      2.5293    0.242729    0.262452    0.011735
     2.58614    0.474287     0.34565   0.0583002
     2.64298    0.325578    0.376486   0.0737636
     2.69982    0.182221    0.287062   0.0330626
     2.75666    0.156156    0.241973   0.0418132
      2.8135    0.286248    0.300269   0.0329478
     2.87033    0.221318    0.253783   0.0205215
     2.92717    0.345359    0.327498   0.0289434
     2.98401    0.404703     0.23662   0.0510814
     3.04085     0.25739    0.175472   0.0348303
     3.09769    0.124972     0.18257   0.0349649
     3.15453    0.202468    0.174716   0.0420773
     3.21136    0.601819     0.28875   0.0962808
      3.2682    0.247616    0.164942    0.025673
     3.32504    0.306029    0.201421   0.0305518
     3.38188    0.250874     0.23086   0.0303792
     3.43872    0.235282    0.236678   0.0475937
     3.49556    0.314174    0.307775   0.0281688
     3.55239    0.156156    0.197988     0.05303
     3.60923    0.119852    0.150513   0.0275149
     3.66607    0.112637    0.128695   0.0208771
     3.72291   0.0714456    0.091227   0.0185985
     3.77975    0.051897   0.0689438   0.0108242
     3.83659   0.0656276   0.0791836    0.016196
     3.89342   0.0549224   0.0629513  0.00719017
     3.95026   0.0537587   0.0454389  0.00670131
      4.0071   0.0249012   0.0388645   0.0125354
     4.06394   0.0374682   0.0602168    0.017745
     4.12078   0.0549224   0.0629513   0.0174895
     4.17761    0.252736    0.102339   0.0471769
     4.23445   0.0244358    0.036421  0.00732358
     4.29129   0.0612058    0.054806   0.0122962
     4.34813   0.0363046   0.0546315   0.0182173
     4.40497   0.0328138   0.0717947   0.0170296
     4.46181   0.0947178    0.082209    0.021055
     4.51864    0.169422   0.0901797   0.0289075
     4.57548   0.0297884   0.0415408   0.0100548
     4.63232   0.0605077   0.0452644    0.012244
     4.68916  0.00651621  0.00878525  0.00348343
       4.746  0.00139633   0.0591113   0.0311044
     4.80284  0.00139633   0.0568423   0.0203978
     4.85967    0.162905   0.0785436   0.0273293
     4.91651  0.00139633   0.0375264    0.022783
     4.97335           0   0.0122761  0.00627776
     5.03019           0  0.00907615  0.00605468
     5.08703           0  0.00151269   0.0011795
     5.14387           0  0.00215268  0.00179772
      5.2007           0 0.000116361 5.81805e-05
     5.25754           0 0.000174541 9.64814e-05
     5.31438           0 0.000174541 9.64814e-05
     5.37122           0 0.000232722 0.000142512
     5.42806           0   0.0447408     0.02573
      5.4849           0  0.00575987  0.00290364
     5.54173           0  0.00366537  0.00190913
     5.59857           0  0.00255994  0.00130355
     5.65541           0 0.000989068 0.000856558
   0.0284191           0           0           0
   0.0852574           0  0.00279266  0.00249783
    0.142096           0  0.00935542  0.00668504
    0.198934           0   0.0348617   0.0188548
    0.255772           0   0.0640451   0.0244104
    0.312611  0.00116361   0.0297419  0.00945925
    0.369449  0.00581805   0.0226206  0.00509758
    0.426287   0.0218759    0.024622   0.0038072
    0.483126   0.0397954    0.040959  0.00680472
    0.539964   0.0937869   0.0538984  0.00923049
    0.596802   0.0639985    0.072935   0.0103817
     0.65364   0.0723765   0.0978828    0.015723
    0.710479   0.0949505   0.0946712   0.0107548
    0.767317    0.121714    0.159926    0.025973
    0.824155   0.0968123    0.156017   0.0195365
    0.880994   0.0754019    0.173145   0.0285231
    0.937832   0.0921578    0.190832   0.0448596
     0.99467    0.249245    0.243986   0.0262348
     1.05151    0.272983    0.210381   0.0213351
     1.10835    0.221086    0.183385   0.0197818
     1.16519    0.256925    0.211125   0.0274151
     1.22202    0.211311    0.216711   0.0138643
     1.27886    0.506403    0.371191   0.0356692
      1.3357    0.375148    0.395813   0.0135034
     1.39254    0.268794    0.282385   0.0189042
     1.44938    0.244125    0.308682   0.0488255
     1.50621    0.271819    0.336423   0.0461985
     1.56305    0.239703    0.392648   0.0524489
     1.61989    0.409125    0.566957   0.0710346
     1.67673    0.364675    0.422576    0.031643
     1.73357    0.394929    0.430535   0.0181753
     1.79041    0.278335    0.298256   0.0333581
     1.84724    0.580176    0.332001   0.0610841
     1.90408    0.354901    0.333537   0.0230585
     1.96092    0.451248    0.347686   0.0438185
     2.01776     0.33861    0.423833   0.0637909
      2.0746    0.392136    0.448315   0.0452212
     2.13144    0.394696    0.432444    0.066161
     2.18827    0.625324    0.553226   0.0446725
     2.24511    0.368631    0.547548   0.0673739
     2.30195    0.426346     0.38832   0.0393999
     2.35879    0.314873    0.334887   0.0537362
     2.41563    0.307426    0.304074   0.0435109
     2.47247     0.45916    0.411266   0.0641626
      2.5293    0.195254    0.249012   0.0152524
     2.58614    0.349083    0.346337   0.0466442
     2.64298    0.292997    0.359788   0.0608715
     2.69982    0.374915    0.304633   0.0307666
     2.75666    0.431932    0.279964   0.0476827
      2.8135    0.323251    0.304866   0.0266769
     2.87033    0.328138    0.268654   0.0211292
     2.92717    0.401212    0.342241   0.0266463
     2.98401    0.254598    0.240215   0.0409915
     3.04085    0.371657    0.214709   0.0448112
     3.09769    0.231791    0.192414    0.029325
     3.15453    0.291833    0.198139    0.039649
     3.21136    0.600655    0.351131     0.09511
      3.2682    0.155924    0.163138   0.0206017
     3.32504    0.118921    0.184921   0.0285514
     3.38188     0.18897    0.222482   0.0254324
     3.43872    0.151735    0.219689    0.040995
     3.49556    0.133582    0.272936   0.0384552
     3.55239   0.0982086    0.178032   0.0460259
     3.60923    0.150571    0.150524   0.0220119
     3.66607   0.0958814    0.122132   0.0177032
     3.72291   0.0695838   0.0868983   0.0153742
     3.77975    0.312778    0.117711   0.0444697
     3.83659    0.174309   0.0982086   0.0213878
     3.89342    0.105888   0.0715387  0.00959595
     3.95026   0.0777291    0.051897  0.00788072
      4.0071    0.166862    0.064464   0.0249966
     4.06394   0.0937869   0.0669308   0.0154139
     4.12078   0.0546896   0.0612989   0.0140694
     4.17761   0.0269957   0.0872707   0.0400759
     4.23445   0.0879689   0.0467305    0.010925
     4.29129   0.0400282   0.0518504    0.010186
     4.34813   0.0197814   0.0476614   0.0158513
     4.40497    0.108448   0.0791254   0.0151194
     4.46181   0.0397954   0.0737263   0.0184739
     4.51864    0.163603    0.104864   0.0265956
     4.57548 0.000465444   0.0333258   0.0108946
     4.63232 0.000930887   0.0363977   0.0126032
     4.68916 0.000698166  0.00716783  0.00313987
       4.746  0.00162905   0.0476149   0.0269244
     4.80284     0.03933   0.0533398   0.0166162
     4.85967   0.0882016   0.0804752   0.0219316
     4.91651  0.00977432    0.031976   0.0188904
     4.97335  0.00674893   0.0111706  0.00511861
     5.03019  0.00465444  0.00819181   0.0049079
     5.08703           0  0.00121015 0.000981634
     5.14387           0  0.00172214  0.00148884
      5.2007           0 9.30887e-05 5.09868e-05
     5.25754           0 0.000139633 8.32611e-05
     5.31438           0 0.000139633 8.32611e-05
     5.37122           0 0.000186177 0.000121373
     5.42806           0   0.0357926   0.0220852
      5.4849           0  0.00460789  0.00254117
     5.54173           0   0.0029323   0.0016621
     5.59857           0  0.00204795  0.00113896
     5.65541           0 0.000791254 0.000707719
   0.0284191           0           0           0
   0.0852574           0  0.00232722  0.00212445
    0.142096           0  0.00779618  0.00574983
    0.198934           0   0.0290514   0.0165835
    0.255772           0   0.0533709   0.0225554
    0.312611  0.00162905   0.0250564  0.00896838
    0.369449   0.0134979   0.0211001  0.00446898
    0.426287  0.00861071   0.0219534  0.00400001
    0.483126  0.00721438   0.0353349  0.00764948
    0.539964  0.00721438   0.0461177   0.0104698
    0.596802    0.102398   0.0778455  0.00974376
     0.65364   0.0835471   0.0954935   0.0132828
    0.710479   0.0807545   0.0923518  0.00920901
    0.767317   0.0600422    0.143279   0.0264465
    0.824155   0.0595768    0.139943   0.0219168
    0.880994   0.0609731     0.15445   0.0292616
    0.937832   0.0949505    0.174852   0.0401285
     0.99467    0.213871    0.238967   0.0223373
     1.05151     0.27531    0.221202   0.0203394
     1.10835    0.322087    0.206502   0.0267784
     1.16519    0.236911    0.215423   0.0231803
     1.22202    0.178032    0.210264    0.012966
     1.27886    0.232256    0.348036   0.0364741
      1.3357     0.29323    0.378716   0.0192412
     1.39254    0.260881    0.278801   0.0160896
     1.44938    0.318596    0.310335   0.0407159
     1.50621    0.299978    0.330349    0.038896
     1.56305    0.258787    0.370338   0.0482196
     1.61989     0.22318    0.509661   0.0789925
     1.67673     0.20945    0.387055   0.0417946
     1.73357    0.393067    0.424291   0.0161834
     1.79041    0.483363    0.329107   0.0395716
     1.84724    0.476149    0.356026   0.0554269
     1.90408    0.513384    0.363512   0.0334359
     1.96092    0.580874    0.386551   0.0509125
