#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0926948   0.0926948           0
           2    0.091172   0.0919334 0.000538374
           3   0.0900561   0.0913076 0.000624398
           4   0.0988748   0.0931994  0.00170396
           5   0.0989866   0.0943569  0.00171171
           6   0.0981096   0.0949823  0.00153645
           7   0.0986804   0.0955106  0.00140485
           8   0.0910625   0.0949546  0.00133475
           9   0.0924101   0.0946719  0.00121602
          10     0.13937   0.0991417  0.00437942
