#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      4.0953      4.0953           0
           2     4.09594     4.09562 0.000225601
           3     4.09665     4.09596 0.000317395
           4     4.09742     4.09633 0.000396135
           5     4.09827     4.09672 0.000470595
           6     4.09919     4.09713 0.000543571
           7     4.10018     4.09756 0.000616298
           8     4.10124     4.09802 0.000689416
           9     4.10237     4.09851 0.000763295
          10     4.10357     4.09901 0.000838164
          11     4.10484     4.09954 0.000914166
          12     4.10618      4.1001 0.000991398
          13      4.1076     4.10067  0.00106992
          14     4.10908     4.10127  0.00114978
          15     4.11064      4.1019  0.00123101
          16     4.11227     4.10255  0.00131361
          17     4.11397     4.10322  0.00139762
          18     4.11574     4.10391  0.00148302
          19     4.11758     4.10463  0.00156983
          20      4.1195     4.10538  0.00165803
          21     4.12149     4.10614  0.00174762
          22     4.12355     4.10693   0.0018386
          23     4.12568     4.10775  0.00193095
          24     4.12789     4.10859  0.00202466
          25     4.13017     4.10945  0.00211973
          26     4.13252     4.11034  0.00221614
          27     4.13495     4.11125  0.00231388
          28     4.13744     4.11219  0.00241293
          29     4.14001     4.11315   0.0025133
          30     4.14266     4.11413  0.00261496
          31     4.14537     4.11514   0.0027179
          32     4.14816     4.11617  0.00282211
          33     4.15102     4.11723  0.00292757
          34     4.15396     4.11831  0.00303427
          35     4.15697     4.11941  0.00314219
          36     4.16005     4.12054  0.00325133
          37      4.1632     4.12169  0.00336166
          38     4.16642     4.12287  0.00347317
          39     4.16972     4.12407  0.00358584
          40     4.17309      4.1253  0.00369965
          41     4.17653     4.12655   0.0038146
          42     4.18004     4.12782  0.00393065
          43     4.18362     4.12912  0.00404779
          44     4.18727     4.13044    0.004166
          45       4.191     4.13178  0.00428526
          46     4.19479     4.13315  0.00440554
          47     4.19865     4.13455  0.00452683
          48     4.20258     4.13596   0.0046491
          49     4.20657     4.13741  0.00477233
          50     4.21064     4.13887  0.00489648
          51     4.21477     4.14036  0.00502153
          52     4.21896     4.14187  0.00514746
          53     4.22322     4.14341  0.00527423
          54     4.22754     4.14496  0.00540181
          55     4.23193     4.14654  0.00553016
          56     4.23637     4.14815  0.00565926
          57     4.24087     4.14978  0.00578905
          58     4.24543     4.15142  0.00591952
          59     4.25005      4.1531   0.0060506
          60     4.25472     4.15479  0.00618226
          61     4.25944     4.15651  0.00631445
          62     4.26421     4.15824  0.00644712
          63     4.26902        4.16  0.00658022
          64     4.27389     4.16178   0.0067137
          65     4.27879     4.16358  0.00684749
          66     4.28373      4.1654  0.00698154
          67     4.28871     4.16724  0.00711579
          68     4.29372      4.1691  0.00725015
          69     4.29876     4.17098  0.00738457
          70     4.30382     4.17288  0.00751896
          71      4.3089     4.17479  0.00765325
          72       4.314     4.17673  0.00778735
          73     4.31911     4.17868  0.00792117
          74     4.32423     4.18064  0.00805461
          75     4.32934     4.18263  0.00818759
          76     4.33445     4.18462  0.00831998
          77     4.33954     4.18664  0.00845169
          78     4.34462     4.18866  0.00858259
          79     4.34966      4.1907  0.00871255
          80     4.35468     4.19275  0.00884146
          81     4.35964     4.19481  0.00896917
          82     4.36456     4.19688  0.00909554
          83     4.36941     4.19896  0.00922041
          84     4.37418     4.20104  0.00934363
          85     4.37887     4.20314  0.00946503
          86     4.38347     4.20523  0.00958442
          87     4.38795     4.20733  0.00970163
          88     4.39231     4.20944  0.00981646
          89     4.39653     4.21154  0.00992871
          90      4.4006     4.21364   0.0100382
          91      4.4045     4.21574   0.0101446
          92      4.4082     4.21783   0.0102478
          93      4.4117     4.21991   0.0103474
          94     4.41498     4.22199   0.0104434
          95       4.418     4.22405   0.0105353
          96     4.42076      4.2261   0.0106229
          97     4.42321     4.22813    0.010706
          98     4.42535     4.23014   0.0107843
          99     4.42714     4.23213   0.0108574
         100     4.42856      4.2341    0.010925
         101     4.42957     4.23603   0.0109869
         102     4.43014     4.23794   0.0110428
         103     4.43025      4.2398   0.0110923
         104     4.42985     4.24163   0.0111352
         105      4.4289     4.24342    0.011171
         106     4.42738     4.24515   0.0111997
         107     4.42524     4.24683   0.0112207
         108     4.42244     4.24846    0.011234
         109     4.41894     4.25002   0.0112393
         110     4.41469     4.25152   0.0112364
         111     4.40965     4.25295   0.0112251
         112     4.40377     4.25429   0.0112054
         113     4.39701     4.25556   0.0111772
         114     4.38931     4.25673   0.0111405
         115     4.38063     4.25781   0.0110956
         116     4.37093     4.25878   0.0110427
         117     4.36015     4.25965   0.0109823
         118     4.34825      4.2604   0.0109149
         119     4.33519     4.26103   0.0108412
         120     4.32093     4.26153   0.0107624
         121     4.30542     4.26189   0.0106795
         122     4.28864     4.26211   0.0105942
         123     4.27055     4.26218   0.0105083
         124     4.25115     4.26209    0.010424
         125      4.2304     4.26183   0.0103437
         126     4.20832     4.26141   0.0102703
         127      4.1849     4.26081   0.0102071
         128     4.16017     4.26002   0.0101576
         129     4.13415     4.25905   0.0101256
         130     4.10689     4.25787   0.0101151
         131     4.07844     4.25651   0.0101302
         132      4.0489     4.25493   0.0101748
         133     4.01834     4.25315   0.0102526
         134      3.9869     4.25117   0.0103669
         135     3.95469     4.24897   0.0105201
         136     3.92188     4.24657   0.0107142
         137     3.88864     4.24395   0.0109499
         138     3.85515     4.24114   0.0112271
         139     3.82164     4.23812   0.0115449
         140     3.78833      4.2349    0.011901
         141     3.75547      4.2315   0.0122928
         142      3.7233     4.22793   0.0127165
         143      3.6921     4.22418   0.0131681
         144     3.66213     4.22028   0.0136428
         145     3.63367     4.21623   0.0141359
         146     3.60698     4.21206    0.014642
         147     3.58234     4.20777   0.0151561
         148        3.56      4.2034   0.0156729
         149     3.54018     4.19895   0.0161875
         150     3.52312     4.19444   0.0166948
         151     3.50898      4.1899   0.0171903
         152     3.49794     4.18535   0.0176697
         153     3.49013      4.1808   0.0181291
         154     3.48562     4.17629   0.0185649
         155     3.48448     4.17183    0.018974
         156     3.48673     4.16743    0.019354
         157     3.49233     4.16313   0.0197026
         158     3.50122     4.15895   0.0200183
         159      3.5133     4.15488   0.0203001
         160     3.52843     4.15097   0.0205473
         161     3.54645     4.14721     0.02076
         162     3.56715     4.14363   0.0209383
         163      3.5903     4.14024   0.0210833
         164     3.61568     4.13704   0.0211959
         165     3.64301     4.13405   0.0212779
         166     3.67202     4.13126    0.021331
         167     3.70244      4.1287   0.0213573
         168     3.73398     4.12635    0.021359
         169     3.76636     4.12422   0.0213385
         170     3.79932      4.1223   0.0212984
         171     3.83259     4.12061   0.0212412
         172     3.86593     4.11913   0.0211692
         173     3.89908     4.11786    0.021085
         174     3.93183     4.11679   0.0209909
         175     3.96399     4.11592   0.0208891
         176     3.99536     4.11523   0.0207817
         177     4.02577     4.11473   0.0206704
         178     4.05509     4.11439    0.020557
         179     4.08318     4.11422   0.0204429
         180     4.10993     4.11419   0.0203293
         181     4.13526     4.11431   0.0202174
         182     4.15907     4.11455   0.0201078
         183     4.18132     4.11492   0.0200012
         184     4.20195     4.11539   0.0198981
         185     4.22093     4.11596   0.0197987
         186     4.23824     4.11662   0.0197032
         187     4.25387     4.11735   0.0196115
         188     4.26781     4.11815   0.0195235
         189     4.28008     4.11901    0.019439
         190      4.2907     4.11991   0.0193577
         191     4.29968     4.12086   0.0192792
         192     4.30706     4.12183   0.0192031
         193     4.31288     4.12282   0.0191291
         194     4.31718     4.12382   0.0190567
         195     4.32001     4.12482   0.0189856
         196     4.32142     4.12583   0.0189152
         197     4.32148     4.12682   0.0188452
         198     4.32024      4.1278   0.0187753
         199     4.31778     4.12875   0.0187052
         200     4.31418     4.12968   0.0186347
         201      4.3095     4.13057   0.0185634
         202     4.30386     4.13143   0.0184913
         203     4.29733     4.13225   0.0184183
         204     4.29004     4.13302   0.0183443
         205      4.2821     4.13375   0.0182692
         206     4.27364     4.13443   0.0181931
         207     4.26481     4.13506   0.0181161
         208     4.25576     4.13564   0.0180383
         209     4.24665     4.13617   0.0179598
         210     4.23765     4.13665   0.0178808
         211     4.22895     4.13709   0.0178014
         212     4.22071     4.13748   0.0177218
         213     4.21311     4.13784   0.0176422
         214     4.20631     4.13816   0.0175626
         215     4.20045     4.13845   0.0174833
         216     4.19566     4.13871   0.0174044
         217     4.19205     4.13896   0.0173259
         218     4.18969     4.13919    0.017248
         219     4.18863     4.13942   0.0171707
         220     4.18889     4.13964   0.0170942
         221     4.19045     4.13987   0.0170184
         222      4.1933     4.14011   0.0169434
         223     4.19738     4.14037   0.0168694
         224     4.20261     4.14065   0.0167963
         225      4.2089     4.14095   0.0167244
         226     4.21616     4.14128   0.0166537
         227     4.22428     4.14165   0.0165844
         228     4.23314     4.14205   0.0165165
         229     4.24261     4.14249   0.0164502
         230     4.25258     4.14297   0.0163857
         231     4.26291     4.14349   0.0163229
         232     4.27348     4.14405   0.0162622
         233     4.28416     4.14465   0.0162035
         234     4.29484     4.14529    0.016147
         235     4.30541     4.14597   0.0160926
         236     4.31576     4.14669   0.0160405
         237      4.3258     4.14745   0.0159906
         238     4.33546     4.14824   0.0159429
         239     4.34465     4.14906   0.0158974
         240     4.35334     4.14991   0.0158539
         241     4.36148     4.15079   0.0158124
         242     4.36905     4.15169   0.0157728
         243     4.37604     4.15261   0.0157349
         244     4.38245     4.15356   0.0156986
         245      4.3883     4.15451   0.0156637
         246      4.3936     4.15549   0.0156302
         247     4.39838     4.15647   0.0155978
         248     4.40269     4.15746   0.0155665
         249     4.40656     4.15846    0.015536
         250     4.41003     4.15947   0.0155065
         251     4.41315     4.16048   0.0154776
         252     4.41595     4.16149   0.0154493
         253     4.41848     4.16251   0.0154216
         254     4.42077     4.16353   0.0153944
         255     4.42285     4.16454   0.0153676
         256     4.42474     4.16556   0.0153411
         257     4.42646     4.16657    0.015315
         258     4.42803     4.16759   0.0152891
         259     4.42944      4.1686   0.0152635
         260     4.43071     4.16961    0.015238
         261     4.43181     4.17061   0.0152127
         262     4.43276     4.17161   0.0151875
         263     4.43352     4.17261   0.0151624
         264     4.43409      4.1736   0.0151373
         265     4.43444     4.17458   0.0151121
         266     4.43455     4.17556   0.0150869
         267      4.4344     4.17653   0.0150615
         268     4.43398     4.17749   0.0150359
         269     4.43324     4.17844     0.01501
         270     4.43219     4.17938   0.0149838
         271     4.43078     4.18031   0.0149572
         272     4.42902     4.18122   0.0149302
         273     4.42688     4.18212   0.0149026
         274     4.42435     4.18301   0.0148744
         275     4.42142     4.18387   0.0148455
         276     4.41808     4.18472    0.014816
         277     4.41433     4.18555   0.0147856
         278     4.41017     4.18636   0.0147545
         279     4.40561     4.18715   0.0147225
         280     4.40063     4.18791   0.0146897
         281     4.39526     4.18865   0.0146559
         282     4.38949     4.18936   0.0146213
         283     4.38336     4.19004   0.0145857
         284     4.37686      4.1907   0.0145491
         285     4.37002     4.19133   0.0145117
         286     4.36286     4.19193   0.0144733
         287     4.35541      4.1925   0.0144341
         288      4.3477     4.19304    0.014394
         289     4.33976     4.19355   0.0143532
         290     4.33164     4.19402   0.0143116
         291     4.32337     4.19447   0.0142693
         292     4.31502     4.19488   0.0142264
         293     4.30663     4.19526    0.014183
         294     4.29828     4.19561   0.0141391
         295     4.29002     4.19593   0.0140947
         296     4.28194     4.19622   0.0140501
         297     4.27411     4.19648   0.0140053
         298     4.26663     4.19672   0.0139602
