#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.40959    -1.40959           0
           2     -1.4103    -1.40995 0.000250275
           3    -1.41108    -1.41032 0.000350315
           4    -1.41193    -1.41073 0.000435195
           5    -1.41285    -1.41115 0.000514808
           6    -1.41383     -1.4116 0.000592336
           7    -1.41489    -1.41207 0.000669193
           8    -1.41602    -1.41256 0.000746128
           9    -1.41722    -1.41308 0.000823576
          10    -1.41849    -1.41362  0.00090181
          11    -1.41984    -1.41419 0.000981009
          12    -1.42125    -1.41478  0.00106129
          13    -1.42274    -1.41539  0.00114275
          14    -1.42429    -1.41602  0.00122542
          15      -1.426    -1.41669  0.00131184
          16     -1.4277    -1.41738  0.00139876
          17    -1.42947    -1.41809  0.00148645
          18    -1.43138    -1.41883  0.00157666
          19     -1.4333    -1.41959  0.00166751
          20    -1.43529    -1.42037  0.00175919
          21    -1.43735    -1.42118  0.00185182
          22     -1.4395    -1.42201  0.00194583
          23     -1.4417    -1.42287  0.00204088
          24    -1.44398    -1.42375  0.00213705
          25    -1.44634    -1.42465  0.00223438
          26    -1.44876    -1.42558  0.00233289
          27    -1.45126    -1.42653  0.00243261
          28    -1.45383    -1.42751  0.00253355
          29    -1.45647    -1.42851  0.00263571
          30    -1.45919    -1.42953   0.0027391
          31    -1.46198    -1.43057  0.00284371
          32    -1.46484    -1.43165  0.00294953
          33    -1.46777    -1.43274  0.00305657
          34    -1.47078    -1.43386  0.00316481
          35    -1.47386      -1.435  0.00327424
          36      -1.477    -1.43617  0.00338477
          37    -1.48023    -1.43736  0.00349647
          38    -1.48352    -1.43857  0.00360934
          39    -1.48689    -1.43981  0.00372335
          40    -1.49033    -1.44108  0.00383849
          41    -1.49384    -1.44236  0.00395474
          42    -1.49742    -1.44367  0.00407208
          43    -1.50108    -1.44501   0.0041905
          44     -1.5048    -1.44637  0.00430996
          45    -1.50859    -1.44775  0.00443045
          46    -1.51245    -1.44916  0.00455194
          47    -1.51638    -1.45059  0.00467441
          48    -1.52038    -1.45204  0.00479782
          49     -1.5244    -1.45352  0.00492194
          50    -1.52853    -1.45502  0.00504698
          51    -1.53273    -1.45654  0.00517292
          52    -1.53699    -1.45809  0.00529972
          53    -1.54131    -1.45966  0.00542734
          54    -1.54569    -1.46125  0.00555576
          55    -1.55014    -1.46287  0.00568493
          56    -1.55464    -1.46451  0.00581481
          57     -1.5592    -1.46617  0.00594536
          58    -1.56381    -1.46785  0.00607654
          59     -1.5685    -1.46956  0.00620838
          60    -1.57322    -1.47129  0.00634075
          61    -1.57799    -1.47303  0.00647359
          62    -1.58281    -1.47481  0.00660686
          63    -1.58767     -1.4766   0.0067405
          64    -1.59257    -1.47841  0.00687445
          65    -1.59751    -1.48024  0.00700865
          66    -1.60249    -1.48209  0.00714304
          67     -1.6075    -1.48397  0.00727754
          68    -1.61254    -1.48586  0.00741208
          69     -1.6176    -1.48777  0.00754656
          70    -1.62267    -1.48969  0.00768091
          71    -1.62777    -1.49164  0.00781505
          72    -1.63286     -1.4936  0.00794885
          73    -1.63795    -1.49558  0.00808217
          74    -1.64306    -1.49757    0.008215
          75    -1.64816    -1.49958  0.00834725
          76    -1.65329     -1.5016  0.00847892
          77     -1.6584    -1.50364  0.00860987
          78    -1.66345    -1.50569  0.00873987
          79    -1.66847    -1.50775  0.00886882
          80    -1.67344    -1.50982  0.00899656
          81    -1.67835     -1.5119  0.00912292
          82     -1.6832    -1.51399  0.00924777
          83    -1.68798    -1.51608  0.00937095
          84    -1.69269    -1.51819   0.0094923
          85    -1.69728    -1.52029  0.00961164
          86    -1.70177     -1.5224  0.00972876
          87    -1.70613    -1.52451  0.00984348
          88    -1.71036    -1.52663  0.00995558
          89    -1.71443    -1.52874   0.0100649
          90    -1.71833    -1.53084   0.0101711
          91    -1.72204    -1.53294    0.010274
          92    -1.72555    -1.53504   0.0103735
          93    -1.72882    -1.53712   0.0104691
          94    -1.73185    -1.53919   0.0105607
          95    -1.73461    -1.54125    0.010648
          96    -1.73707    -1.54329   0.0107307
          97    -1.73921    -1.54531   0.0108085
          98    -1.74101    -1.54731   0.0108811
          99    -1.74242    -1.54928   0.0109482
         100    -1.74344    -1.55122   0.0110095
         101    -1.74401    -1.55313   0.0110648
         102    -1.74412      -1.555   0.0111136
         103    -1.74372    -1.55683   0.0111557
         104    -1.74278    -1.55862   0.0111908
         105    -1.74126    -1.56036   0.0112186
         106    -1.73913    -1.56205   0.0112388
         107    -1.73635    -1.56368   0.0112512
         108    -1.73285    -1.56524   0.0112555
         109     -1.7286    -1.56674   0.0112516
         110    -1.72357    -1.56817   0.0112393
         111    -1.71769    -1.56951   0.0112185
         112    -1.71094    -1.57078   0.0111892
         113    -1.70325    -1.57195   0.0111514
         114    -1.69457    -1.57302   0.0111053
         115    -1.68488      -1.574   0.0110513
         116    -1.67412    -1.57486   0.0109897
         117    -1.66224    -1.57561   0.0109211
         118    -1.64919    -1.57623   0.0108463
         119    -1.63495    -1.57672   0.0107664
         120    -1.61945    -1.57708   0.0106825
         121    -1.60268    -1.57729   0.0105964
         122     -1.5846    -1.57735   0.0105097
         123     -1.5652    -1.57725   0.0104247
         124    -1.54447    -1.57699    0.010344
         125    -1.52239    -1.57655   0.0102704
         126    -1.49898    -1.57594   0.0102074
