#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      2.7302      2.7302           0
           2     2.73063     2.73041   0.0001504
           3      2.7311     2.73064 0.000211597
           4     2.73162     2.73089  0.00026409
           5     2.73218     2.73114  0.00031373
           6     2.73279     2.73142 0.000362381
           7     2.73345     2.73171 0.000410865
           8     2.73416     2.73202 0.000459611
           9     2.73491     2.73234 0.000508864
          10     2.73571     2.73268 0.000558776
          11     2.73656     2.73303 0.000609444
          12     2.73745      2.7334 0.000660932
          13      2.7384     2.73378 0.000713282
          14     2.73939     2.73418 0.000766522
          15     2.74043      2.7346 0.000820671
          16     2.74151     2.73503 0.000875743
          17     2.74264     2.73548 0.000931747
          18     2.74383     2.73594 0.000988683
          19     2.74506     2.73642  0.00104655
          20     2.74633     2.73692  0.00110535
          21     2.74766     2.73743  0.00116508
          22     2.74903     2.73796  0.00122573
          23     2.75046      2.7385   0.0012873
          24     2.75193     2.73906  0.00134977
          25     2.75345     2.73963  0.00141315
          26     2.75501     2.74023  0.00147742
          27     2.75663     2.74083  0.00154258
          28      2.7583     2.74146  0.00160862
          29     2.76001      2.7421  0.00167553
          30     2.76177     2.74275  0.00174331
          31     2.76358     2.74342  0.00181193
          32     2.76544     2.74411   0.0018814
          33     2.76735     2.74482  0.00195171
          34     2.76931     2.74554  0.00202285
          35     2.77131     2.74627   0.0020948
          36     2.77336     2.74703  0.00216755
          37     2.77546     2.74779  0.00224111
          38     2.77761     2.74858  0.00231545
          39     2.77981     2.74938  0.00239056
          40     2.78206      2.7502  0.00246644
          41     2.78435     2.75103  0.00254306
          42     2.78669     2.75188  0.00262043
          43     2.78908     2.75274  0.00269853
          44     2.79152     2.75363  0.00277733
          45       2.794     2.75452  0.00285684
          46     2.79652     2.75544  0.00293703
          47      2.7991     2.75636  0.00301789
          48     2.80172     2.75731   0.0030994
          49     2.80438     2.75827  0.00318155
          50     2.80709     2.75925  0.00326432
          51     2.80985     2.76024  0.00334769
          52     2.81264     2.76125  0.00343164
          53     2.81548     2.76227  0.00351615
          54     2.81836     2.76331   0.0036012
          55     2.82128     2.76436  0.00368677
          56     2.82425     2.76543  0.00377284
          57     2.82725     2.76652  0.00385937
          58     2.83029     2.76762  0.00394634
          59     2.83337     2.76873  0.00403373
          60     2.83648     2.76986   0.0041215
          61     2.83962       2.771  0.00420963
          62      2.8428     2.77216  0.00429808
          63     2.84602     2.77333  0.00438681
          64     2.84926     2.77452   0.0044758
          65     2.85253     2.77572    0.004565
          66     2.85582     2.77693  0.00465436
          67     2.85914     2.77816  0.00474386
          68     2.86248      2.7794  0.00483343
          69     2.86584     2.78065  0.00492305
          70     2.86921     2.78192  0.00501264
          71      2.8726      2.7832  0.00510217
          72       2.876     2.78448  0.00519157
          73     2.87941     2.78579  0.00528078
          74     2.88282      2.7871  0.00536974
          75     2.88623     2.78842  0.00545839
          76     2.88963     2.78975  0.00554665
          77     2.89303     2.79109  0.00563446
          78     2.89641     2.79244  0.00572172
          79     2.89978      2.7938  0.00580837
          80     2.90312     2.79517  0.00589431
          81     2.90643     2.79654  0.00597945
          82      2.9097     2.79792  0.00606369
          83     2.91294     2.79931  0.00614694
          84     2.91612      2.8007  0.00622909
          85     2.91925     2.80209  0.00631002
          86     2.92231     2.80349  0.00638962
          87      2.9253     2.80489  0.00646776
          88     2.92821     2.80629  0.00654431
          89     2.93102     2.80769  0.00661914
          90     2.93373     2.80909  0.00669211
          91     2.93633     2.81049  0.00676306
          92      2.9388     2.81189  0.00683184
          93     2.94114     2.81328  0.00689829
          94     2.94332     2.81466  0.00696225
          95     2.94534     2.81603  0.00702353
          96     2.94717      2.8174  0.00708196
          97     2.94881     2.81876  0.00713735
          98     2.95024      2.8201  0.00718951
          99     2.95143     2.82142  0.00723825
         100     2.95237     2.82273  0.00728336
         101     2.95305     2.82402  0.00732463
         102     2.95343     2.82529  0.00736188
         103      2.9535     2.82654  0.00739488
         104     2.95323     2.82775  0.00742344
         105      2.9526     2.82894  0.00744736
         106     2.95159      2.8301  0.00746643
         107     2.95016     2.83122  0.00748049
         108     2.94829     2.83231  0.00748936
         109     2.94596     2.83335  0.00749288
         110     2.94313     2.83435  0.00749093
         111     2.93977      2.8353   0.0074834
         112     2.93585     2.83619  0.00747024
         113     2.93134     2.83704  0.00745143
         114     2.92621     2.83782  0.00742701
         115     2.92042     2.83854  0.00739708
         116     2.91395     2.83919  0.00736183
         117     2.90677     2.83977  0.00732153
         118     2.89884     2.84027  0.00727658
         119     2.89013     2.84068  0.00722748
         120     2.88062     2.84102  0.00717491
         121     2.87028     2.84126  0.00711969
         122     2.85909     2.84141  0.00706283
         123     2.84704     2.84145  0.00700556
         124      2.8341     2.84139  0.00694931
         125     2.82027     2.84122  0.00689577
         126     2.80555     2.84094  0.00684685
         127     2.78994     2.84054  0.00680471
         128     2.77345     2.84001  0.00677171
         129      2.7561     2.83936  0.00675038
         130     2.73792     2.83858  0.00674341
         131     2.71896     2.83767  0.00675347
         132     2.69926     2.83662  0.00678322
         133      2.6789     2.83544   0.0068351
         134     2.65793     2.83411  0.00691126
         135     2.63646     2.83265  0.00701342
         136     2.61459     2.83104  0.00714278
         137     2.59242      2.8293  0.00729992
         138      2.5701     2.82742  0.00748476
         139     2.54776     2.82541  0.00769657
         140     2.52556     2.82327  0.00793402
         141     2.50364       2.821  0.00819519
         142      2.4822     2.81862  0.00847768
         143      2.4614     2.81612  0.00877872
         144     2.44142     2.81352  0.00909523
         145     2.42244     2.81082  0.00942391
         146     2.40466     2.80804  0.00976134
         147     2.38823     2.80518   0.0101041
         148     2.37333     2.80226   0.0104486
         149     2.36012      2.7993   0.0107916
         150     2.34874     2.79629   0.0111299
         151     2.33932     2.79327   0.0114602
         152     2.33196     2.79023   0.0117798
         153     2.32675      2.7872   0.0120861
         154     2.32375     2.78419   0.0123766
         155     2.32299     2.78122   0.0126494
         156     2.32448     2.77829   0.0129027
         157     2.32822     2.77542   0.0131351
         158     2.33415     2.77263   0.0133456
         159      2.3422     2.76992   0.0135334
         160     2.35229     2.76731   0.0136982
         161      2.3643     2.76481     0.01384
         162      2.3781     2.76242   0.0139589
         163     2.39354     2.76016   0.0140555
         164     2.41045     2.75803   0.0141306
         165     2.42867     2.75603   0.0141853
         166     2.44801     2.75418   0.0142207
         167     2.46829     2.75246   0.0142382
         168     2.48932      2.7509   0.0142393
         169     2.51091     2.74948   0.0142257
         170     2.53288      2.7482    0.014199
         171     2.55506     2.74707   0.0141608
         172     2.57728     2.74609   0.0141128
         173     2.59939     2.74524   0.0140567
         174     2.62122     2.74453    0.013994
         175     2.64266     2.74394   0.0139261
         176     2.66357     2.74349   0.0138545
         177     2.68385     2.74315   0.0137803
         178     2.70339     2.74293   0.0137047
         179     2.72212     2.74281   0.0136286
         180     2.73996     2.74279   0.0135529
         181     2.75684     2.74287   0.0134782
         182     2.77272     2.74304   0.0134052
         183     2.78755     2.74328   0.0133341
         184      2.8013     2.74359   0.0132654
         185     2.81395     2.74398   0.0131991
         186     2.82549     2.74441   0.0131354
         187     2.83591      2.7449   0.0130743
         188     2.84521     2.74544   0.0130157
         189     2.85339     2.74601   0.0129593
