#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     2.68571     2.68571           0
           2     2.68564     2.68567 2.46746e-05
           3     2.68557     2.68564 3.29327e-05
           4      2.6855      2.6856 3.90929e-05
           5     2.68543     2.68557 4.42735e-05
           6     2.68536     2.68553 4.88566e-05
           7     2.68529      2.6855 5.30249e-05
           8     2.68522     2.68546 5.68822e-05
           9     2.68514     2.68543 6.04949e-05
          10     2.68507     2.68539 6.39081e-05
          11       2.685     2.68536 6.71545e-05
          12     2.68493     2.68532 7.02588e-05
          13     2.68486     2.68528 7.32398e-05
          14     2.68479     2.68525 7.61126e-05
          15     2.68464     2.68521 8.12143e-05
          16     2.68457     2.68517 8.54872e-05
          17     2.68449     2.68513 8.91819e-05
          18     2.68436     2.68509 9.39443e-05
          19     2.68429     2.68504 9.79847e-05
          20     2.68421       2.685 0.000101499
          21     2.68414     2.68496 0.000104622
          22     2.68405     2.68492  0.00010772
          23     2.68398     2.68488 0.000110525
          24     2.68391     2.68484 0.000113099
          25     2.68383      2.6848 0.000115491
          26     2.68376     2.68476 0.000117735
          27     2.68369     2.68472 0.000119858
          28     2.68362     2.68468 0.000121881
          29     2.68354     2.68464 0.000123821
          30     2.68347      2.6846 0.000125689
          31      2.6834     2.68456 0.000127496
          32     2.68332     2.68452  0.00012925
          33     2.68325     2.68449 0.000130957
          34     2.68318     2.68445 0.000132623
          35     2.68311     2.68441 0.000134251
          36     2.68304     2.68437 0.000135772
          37     2.68297     2.68433 0.000137272
          38      2.6829      2.6843 0.000138749
          39     2.68283     2.68426 0.000140204
          40     2.68276     2.68422 0.000141638
          41     2.68268     2.68418 0.000143051
          42     2.68261     2.68415 0.000144442
          43     2.68254     2.68411  0.00014581
          44     2.68247     2.68407 0.000147156
          45      2.6824     2.68403 0.000148478
          46     2.68233       2.684 0.000149776
          47     2.68227     2.68396 0.000151049
          48      2.6822     2.68392 0.000152285
          49     2.68217     2.68389 0.000153316
          50     2.68211     2.68385 0.000154337
          51     2.68204     2.68382 0.000155345
          52     2.68198     2.68378 0.000156336
          53     2.68191     2.68375 0.000157308
          54     2.68185     2.68371 0.000158258
          55     2.68179     2.68368 0.000159182
          56     2.68173     2.68364 0.000160079
          57     2.68167     2.68361 0.000160944
          58     2.68162     2.68357 0.000161776
          59     2.68155     2.68354  0.00016263
          60      2.6815      2.6835 0.000163439
          61     2.68145     2.68347 0.000164201
          62      2.6814     2.68344 0.000164913
          63     2.68136      2.6834 0.000165573
          64     2.68131     2.68337 0.000166177
          65     2.68127     2.68334 0.000166724
          66     2.68124     2.68331 0.000167208
          67     2.68121     2.68328 0.000167629
          68     2.68118     2.68324 0.000167981
          69     2.68116     2.68321 0.000168244
          70     2.68115     2.68318 0.000168417
          71     2.68113     2.68316 0.000168509
          72     2.68114     2.68313 0.000168484
          73     2.68116      2.6831 0.000168314
          74     2.68117     2.68308 0.000168052
