#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     4.19746     4.19746           0
           2     3.70657     3.95202    0.173557
           3     3.45145     3.78516    0.178741
           4     3.35161     3.67677    0.163651
           5      3.2724      3.5959    0.149575
           6     3.19859     3.52968     0.13853
           7     3.18282     3.48013    0.127294
           8     3.07904     3.42999    0.120853
           9     3.04125      3.3868    0.114885
          10     3.05095     3.35321    0.108194
