#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -1.51092    -1.51092           0
           2    -1.01663    -1.26378    0.174758
           3   -0.760182    -1.09591    0.179887
           4   -0.660328   -0.987016    0.164608
           5   -0.580866   -0.905786    0.150399
           6   -0.506778   -0.839284    0.139261
           7   -0.491042   -0.789535    0.127944
           8   -0.386741   -0.739186    0.121455
           9    -0.34941   -0.695878    0.115423
          10   -0.358716   -0.662162    0.108694
