#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.79831     2.79831           0
           2     2.47105     2.63468    0.115705
           3     2.30096     2.52344    0.119161
           4     2.23441     2.45118    0.109101
           5      2.1816     2.39727   0.0997169
           6     2.13239     2.35312   0.0923536
           7     2.12188     2.32009   0.0848628
           8     2.05269     2.28666   0.0805689
           9      2.0275     2.25787   0.0765901
          10     2.03397     2.23548   0.0721295
