# VELOCITY:     ACTUAL_POFV:     AVE_POFV:        ERROR:
   0.0284191 0.000325811 0.000325811           0
   0.0852574 0.000325811 0.000325811           0
    0.142096 0.000244358 0.000244358           0
    0.198934  0.00415408  0.00415408           0
    0.255772    0.036898    0.036898           0
    0.312611   0.0290786   0.0290786           0
    0.369449   0.0511523   0.0511523           0
    0.426287   0.0319294   0.0319294           0
    0.483126   0.0210962   0.0210962           0
    0.539964   0.0797421   0.0797421           0
    0.596802   0.0647549   0.0647549           0
     0.65364   0.0752622   0.0752622           0
    0.710479    0.120794    0.120794           0
    0.767317    0.100105    0.100105           0
    0.824155   0.0944851   0.0944851           0
    0.880994     0.09196     0.09196           0
    0.937832    0.158181    0.158181           0
     0.99467    0.315873    0.315873           0
     1.05151    0.224158    0.224158           0
     1.10835    0.289646    0.289646           0
     1.16519     0.19459     0.19459           0
     1.22202    0.197848    0.197848           0
     1.27886    0.419237    0.419237           0
      1.3357    0.247942    0.247942           0
     1.39254    0.190192    0.190192           0
     1.44938    0.440089    0.440089           0
     1.50621    0.295184    0.295184           0
     1.56305    0.377289    0.377289           0
     1.61989    0.366211    0.366211           0
     1.67673    0.468679    0.468679           0
     1.73357     0.52089     0.52089           0
     1.79041    0.404657    0.404657           0
     1.84724    0.309683    0.309683           0
     1.90408     0.39024     0.39024           0
     1.96092    0.395045    0.395045           0
     2.01776    0.511604    0.511604           0
      2.0746     0.45532     0.45532           0
     2.13144    0.519016    0.519016           0
     2.18827     0.37061     0.37061           0
     2.24511    0.386004    0.386004           0
     2.30195    0.310497    0.310497           0
     2.35879    0.510219    0.510219           0
     2.41563    0.428604    0.428604           0
     2.47247     0.39024     0.39024           0
      2.5293    0.492951    0.492951           0
     2.58614    0.408078    0.408078           0
     2.64298    0.431047    0.431047           0
     2.69982    0.246639    0.246639           0
     2.75666    0.283048    0.283048           0
      2.8135    0.416223    0.416223           0
     2.87033    0.320598    0.320598           0
     2.92717    0.228475    0.228475           0
     2.98401    0.284433    0.284433           0
     3.04085    0.272215    0.272215           0
     3.09769    0.235317    0.235317           0
     3.15453    0.162091    0.162091           0
     3.21136    0.288179    0.288179           0
      3.2682    0.187993    0.187993           0
     3.32504       0.166       0.166           0
     3.38188    0.172354    0.172354           0
     3.43872    0.148814    0.148814           0
     3.49556    0.345115    0.345115           0
     3.55239    0.116966    0.116966           0
     3.60923   0.0547362   0.0547362           0
     3.66607   0.0927746   0.0927746           0
     3.72291    0.117699    0.117699           0
     3.77975    0.078276    0.078276           0
     3.83659   0.0809639   0.0809639           0
     3.89342   0.0961141   0.0961141           0
     3.95026   0.0579943   0.0579943           0
      4.0071   0.0171051   0.0171051           0
     4.06394   0.0298117   0.0298117           0
     4.12078   0.0225624   0.0225624           0
     4.17761    0.112242    0.112242           0
     4.23445   0.0839777   0.0839777           0
     4.29129    0.108984    0.108984           0
     4.34813   0.0513152   0.0513152           0
     4.40497    0.152642    0.152642           0
     4.46181   0.0817785   0.0817785           0
     4.51864   0.0777873   0.0777873           0
     4.57548   0.0468353   0.0468353           0
     4.63232   0.0483829   0.0483829           0
     4.68916   0.0174309   0.0174309           0
       4.746   0.0101001   0.0101001           0
     4.80284  0.00350246  0.00350246           0
