#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.02868     3.02868           0
           2     3.02462     3.02665  0.00143336
           3       3.047     3.03343  0.00561916
           4     3.04719     3.03687  0.00516113
           5     2.99317     3.02813  0.00884118
           6     3.02226     3.02715  0.00742172
           7     3.01886     3.02597  0.00645531
           8     2.99995     3.02272  0.00641577
           9     2.98554     3.01859  0.00690601
          10     2.97253     3.01398  0.00759739
          11     3.02368     3.01486  0.00695767
          12     3.01461     3.01484  0.00637789
          13     3.01852     3.01512  0.00589357
          14     2.99525      3.0137  0.00564104
          15     3.01079     3.01351  0.00526832
          16     3.00383      3.0129  0.00497366
          17     3.06519     3.01598  0.00555132
          18     2.96787     3.01331  0.00585115
          19     3.07272     3.01643  0.00632375
          20     2.98098     3.01466  0.00625105
          21     3.03881     3.01581  0.00605824
          22     3.04895     3.01732   0.0059672
          23     3.06218     3.01927  0.00601808
          24     3.07323     3.02152  0.00617309
          25     3.04751     3.02256   0.0060131
          26     2.98494     3.02111  0.00595337
          27     3.04244      3.0219  0.00578506
          28     3.06696     3.02351    0.005798
          29     3.06446     3.02492  0.00576749
          30      3.0517     3.02581  0.00564388
          31     3.05977     3.02691  0.00556709
          32     3.05582     3.02781  0.00546593
          33     2.99922     3.02695  0.00536853
          34     3.01268     3.02653  0.00522701
          35     3.01827     3.02629  0.00508299
          36     2.99887     3.02553  0.00499854
          37     3.01109     3.02514  0.00487866
          38     3.06053     3.02607  0.00483836
          39     3.04434     3.02654  0.00473692
          40     3.04669     3.02704  0.00464521
          41     3.01438     3.02673  0.00454216
          42      2.9996     3.02609  0.00447972
          43     3.01902     3.02592  0.00437856
          44     3.05308     3.02654  0.00432233
          45     3.03858     3.02681  0.00423456
          46     3.01387     3.02653  0.00415184
          47     3.04177     3.02685  0.00407614
          48      3.0163     3.02663  0.00399714
          49     2.97713     3.02562   0.0040412
          50     3.01062     3.02532  0.00397149
          51      3.0075     3.02497  0.00390896
          52     3.01476     3.02477  0.00383872
          53      3.0206      3.0247   0.0037671
          54     3.03568      3.0249  0.00370283
          55     3.01603     3.02474  0.00363901
          56     2.99044     3.02413  0.00362521
          57     3.04207     3.02444  0.00357524
          58     2.97472     3.02358   0.0036149
          59     3.00123      3.0232  0.00357343
          60     3.04315     3.02354   0.0035293
          61     3.00135     3.02317  0.00349013
          62     3.01947     3.02311  0.00343435
          63     3.03395     3.02329  0.00338414
          64     3.03021     3.02339  0.00333299
          65     3.01205     3.02322  0.00328628
          66     2.99166     3.02274  0.00327109
          67     3.00974     3.02255  0.00322802
          68     3.00611     3.02231  0.00318958
          69      3.0064     3.02207  0.00315167
          70     3.02838     3.02216  0.00310794
          71     3.01573     3.02207  0.00306548
          72     3.00624     3.02185  0.00303078
          73     3.00009     3.02156  0.00300389
          74     3.01254     3.02143  0.00296577
          75     3.02132     3.02143  0.00292622
          76      3.0041      3.0212  0.00289659
          77     3.00089     3.02094  0.00287097
          78     3.01522     3.02087   0.0028351
          79     3.04096     3.02112  0.00281059
          80     2.99509      3.0208  0.00279423
          81     3.03092     3.02092  0.00276253
          82     3.02565     3.02098  0.00272944
          83     2.99814      3.0207  0.00271039
          84      3.0086     3.02056  0.00268195
          85     3.04254     3.02082  0.00266283
          86     2.99857     3.02056  0.00264441
          87     3.02731     3.02064  0.00261515
          88      3.0545     3.02102   0.0026136
          89     3.02975     3.02112  0.00258607
          90     3.03001     3.02122  0.00255922
          91     3.01092     3.02111   0.0025336
          92     3.05625     3.02149  0.00253469
          93     3.05161     3.02181  0.00252805
          94     3.06097     3.02223  0.00253525
          95     3.03569     3.02237  0.00251252
          96     2.99607      3.0221  0.00250124
          97     2.97009     3.02156  0.00253226
          98     2.97379     3.02107   0.0025529
          99     3.02472     3.02111  0.00252738
         100     2.99093     3.02081  0.00252005
