#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.336675   -0.336675           0
           2    -0.33262   -0.334648  0.00143347
           3   -0.355073   -0.341456  0.00564058
           4    -0.35515    -0.34488  0.00516598
           5   -0.301219   -0.336147  0.00883637
           6   -0.330396   -0.335189  0.00741545
           7   -0.326811   -0.333992  0.00645196
           8   -0.307866   -0.330726  0.00641896
           9   -0.293521   -0.326592  0.00690982
          10    -0.28047    -0.32198  0.00760389
          11   -0.331587   -0.322854   0.0069626
          12   -0.322707   -0.322841   0.0063824
          13   -0.326456   -0.323119   0.0058975
          14   -0.303281   -0.321702  0.00564393
          15   -0.318794   -0.321508    0.005271
          16   -0.311782   -0.320901  0.00497649
          17   -0.373108   -0.323972  0.00555103
          18   -0.275803   -0.321296  0.00585224
          19   -0.380562   -0.324415  0.00632111
          20   -0.288976   -0.322643  0.00624848
          21   -0.346889   -0.323797  0.00605666
          22   -0.356923   -0.325303  0.00596559
          23   -0.370293   -0.327259  0.00601837
          24   -0.381239   -0.329508  0.00617359
          25   -0.355532   -0.330549  0.00601376
          26   -0.292855     -0.3291  0.00595465
          27   -0.350602   -0.329896  0.00578712
          28   -0.375078    -0.33151  0.00580105
          29   -0.372533   -0.332924  0.00577091
          30   -0.359623   -0.333814  0.00564675
          31   -0.367737   -0.334908  0.00556962
          32    -0.36387   -0.335814  0.00546861
          33   -0.307142   -0.334945  0.00537147
          34   -0.320645   -0.334524  0.00522992
          35   -0.326253   -0.334288  0.00508583
          36   -0.306905   -0.333527  0.00500112
          37   -0.319024   -0.333135  0.00488129
          38   -0.368449   -0.334064  0.00484049
          39   -0.352323   -0.334533  0.00473896
          40   -0.354782   -0.335039  0.00464744
          41    -0.32242   -0.334731  0.00454427
          42   -0.307592   -0.334085  0.00448178
          43   -0.327142   -0.333924  0.00438046
          44   -0.361252   -0.334545  0.00432471
          45   -0.346579   -0.334812  0.00423687
          46   -0.321769   -0.334528  0.00415424
          47   -0.349883   -0.334855  0.00407867
          48   -0.324276   -0.334635  0.00399965
          49   -0.285066   -0.333623  0.00404393
          50   -0.318569   -0.333322  0.00397425
          51   -0.315598   -0.332975  0.00391148
          52   -0.322772   -0.332778  0.00384118
          53   -0.328532   -0.332698  0.00376954
          54   -0.343622   -0.332901  0.00370516
          55   -0.323886   -0.332737  0.00364142
          56   -0.298437   -0.332124  0.00362754
          57   -0.350109    -0.33244  0.00357759
          58   -0.282602    -0.33158  0.00361763
          59    -0.30925   -0.331202  0.00357606
          60   -0.351162   -0.331535   0.0035319
          61    -0.30927    -0.33117   0.0034928
          62   -0.327555   -0.331111  0.00343696
          63   -0.341927   -0.331283  0.00338669
          64   -0.338166    -0.33139  0.00333548
          65   -0.320025   -0.331216  0.00328874
          66   -0.299644   -0.330737  0.00327352
          67   -0.317671   -0.330542  0.00323046
          68   -0.314085     -0.3303  0.00319201
          69   -0.314389    -0.33007  0.00315406
          70   -0.336383    -0.33016   0.0031103
          71   -0.323732   -0.330069  0.00306781
          72   -0.314287    -0.32985  0.00303302
          73   -0.308018   -0.329551  0.00300618
          74   -0.320491   -0.329429  0.00296805
          75   -0.329323   -0.329427  0.00292847
          76   -0.312052   -0.329199  0.00289885
          77   -0.308841   -0.328934  0.00287324
          78   -0.323245   -0.328861  0.00283732
          79   -0.348824   -0.329114  0.00281264
          80   -0.302997   -0.328787  0.00279636
          81   -0.338808   -0.328911  0.00276457
          82   -0.333655   -0.328969  0.00273147
          83   -0.306099   -0.328693  0.00271242
          84   -0.316635    -0.32855  0.00268392
          85   -0.350669    -0.32881  0.00266493
          86   -0.306558   -0.328551  0.00264648
          87   -0.335303   -0.328629   0.0026172
          88   -0.362545   -0.329014  0.00261568
          89   -0.337747   -0.329113  0.00258813
          90   -0.337909    -0.32921  0.00256122
          91   -0.318904   -0.329097  0.00253557
          92    -0.36412   -0.329478  0.00253643
          93   -0.359521   -0.329801  0.00252964
          94   -0.368955   -0.330217   0.0025368
          95   -0.343664   -0.330359  0.00251404
          96     -0.3041   -0.330085  0.00250269
          97    -0.27806   -0.329549   0.0025337
          98   -0.281816   -0.329062  0.00255424
          99   -0.332748   -0.329099  0.00252871
         100   -0.298912   -0.328797  0.00252138
