#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.01912     2.01912           0
           2     2.01642     2.01777 0.000955574
           3     2.03133     2.02229  0.00374611
           4     2.03146     2.02458  0.00344075
           5     1.99545     2.01876  0.00589412
           6     2.01484      2.0181  0.00494781
           7     2.01257     2.01731  0.00430354
           8     1.99996     2.01514  0.00427718
           9     1.99036     2.01239  0.00460401
          10     1.98169     2.00932  0.00506493
          11     2.01578     2.00991  0.00463844
          12     2.00974     2.00989  0.00425193
          13     2.01235     2.01008  0.00392904
          14     1.99683     2.00914  0.00376069
          15     2.00719     2.00901  0.00351221
          16     2.00255      2.0086  0.00331577
          17     2.04346     2.01065  0.00370088
          18     1.97858     2.00887  0.00390077
          19     2.04848     2.01096  0.00421583
          20     1.98732     2.00977  0.00416737
          21     2.02587     2.01054  0.00403883
          22     2.03263     2.01155  0.00397813
          23     2.04145     2.01285  0.00401205
          24     2.04882     2.01434  0.00411539
          25     2.03167     2.01504  0.00400873
          26     1.98996     2.01407  0.00396892
          27     2.02829      2.0146   0.0038567
          28     2.04464     2.01567  0.00386533
          29     2.04298     2.01661    0.003845
          30     2.03446     2.01721  0.00376258
          31     2.03985     2.01794  0.00371139
          32     2.03721     2.01854  0.00364396
          33     1.99948     2.01796  0.00357902
          34     2.00845     2.01768  0.00348467
          35     2.01218     2.01753  0.00338866
          36     1.99925     2.01702  0.00333236
          37     2.00739     2.01676  0.00325244
          38     2.04035     2.01738  0.00322557
          39     2.02956     2.01769  0.00315795
          40     2.03113     2.01803   0.0030968
          41     2.00959     2.01782  0.00302811
          42     1.99973     2.01739  0.00298648
          43     2.01268     2.01728  0.00291904
          44     2.03539     2.01769  0.00288156
          45     2.02572     2.01787  0.00282304
          46     2.00924     2.01768  0.00276789
          47     2.02784      2.0179  0.00271743
          48     2.01087     2.01775  0.00266476
          49     1.98476     2.01708  0.00269413
          50     2.00708     2.01688  0.00264766
          51       2.005     2.01665  0.00260597
          52     2.00984     2.01652  0.00255915
          53     2.01373     2.01646   0.0025114
          54     2.02379      2.0166  0.00246855
          55     2.01069     2.01649  0.00242601
          56     1.99363     2.01608   0.0024168
          57     2.02804     2.01629   0.0023835
          58     1.98315     2.01572  0.00240994
          59     2.00082     2.01547  0.00238229
          60     2.02876     2.01569  0.00235287
          61      2.0009     2.01545  0.00232675
          62     2.01298     2.01541  0.00228957
          63     2.02263     2.01552  0.00225609
          64     2.02014      2.0156  0.00222199
          65     2.00804     2.01548  0.00219085
          66     1.99444     2.01516  0.00218072
          67     2.00649     2.01503  0.00215201
          68     2.00407     2.01487  0.00212639
          69     2.00427     2.01472  0.00210111
          70     2.01892     2.01478  0.00207196
          71     2.01049     2.01472  0.00204365
          72     2.00416     2.01457  0.00202052
          73     2.00006     2.01437  0.00200259
          74     2.00836     2.01429  0.00197718
          75     2.01421     2.01429  0.00195082
          76     2.00273     2.01414  0.00193106
          77     2.00059     2.01396  0.00191398
          78     2.01014     2.01391  0.00189007
          79      2.0273     2.01408  0.00187373
          80     1.99673     2.01386  0.00186282
          81     2.02062     2.01395  0.00184169
          82      2.0171     2.01399  0.00181963
          83     1.99876      2.0138  0.00180693
          84     2.00573     2.01371  0.00178797
          85     2.02836     2.01388  0.00177522
          86     1.99904     2.01371  0.00176294
          87     2.01821     2.01376  0.00174343
          88     2.03634     2.01401   0.0017424
          89     2.01983     2.01408  0.00172405
          90     2.02001     2.01415  0.00170615
          91     2.00728     2.01407  0.00168907
          92      2.0375     2.01433   0.0016898
          93     2.03441     2.01454  0.00168536
          94     2.04065     2.01482  0.00169017
          95     2.02379     2.01491  0.00167501
          96     1.99738     2.01473  0.00166749
          97     1.98006     2.01437  0.00168817
          98     1.98253     2.01405  0.00170193
          99     2.01648     2.01407  0.00168492
         100     1.99395     2.01387  0.00168004
