#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       2.692       2.692           0
           2       2.692       2.692 1.15424e-07
           3     2.69192     2.69198 2.17224e-05
           4     2.69204     2.69199 2.17336e-05
           5     2.69195     2.69199 1.89348e-05
           6     2.69186     2.69196 2.48523e-05
           7     2.69205     2.69198  2.4162e-05
           8     2.69208     2.69199 2.43863e-05
           9     2.69201     2.69199 2.18322e-05
          10     2.69206       2.692 2.06696e-05
          11     2.69209     2.69201 2.03113e-05
          12     2.69191       2.692 2.03149e-05
          13     2.69206       2.692 1.93739e-05
          14     2.69196       2.692 1.81905e-05
          15     2.69199       2.692 1.69837e-05
          16     2.69205       2.692 1.61815e-05
          17     2.69209     2.69201 1.59464e-05
          18     2.69206     2.69201 1.53568e-05
          19     2.69216     2.69202 1.63101e-05
          20     2.69201     2.69202 1.55055e-05
          21     2.69192     2.69201 1.54308e-05
          22     2.69203     2.69201 1.47427e-05
          23     2.69188     2.69201  1.5148e-05
          24     2.69199     2.69201 1.45322e-05
          25     2.69198     2.69201 1.39969e-05
          26     2.69208     2.69201 1.37385e-05
          27     2.69184       2.692 1.46451e-05
          28     2.69189       2.692 1.47176e-05
          29     2.69193       2.692 1.43976e-05
          30     2.69207       2.692 1.41386e-05
          31     2.69203       2.692 1.37204e-05
          32     2.69195       2.692 1.33852e-05
          33     2.69208       2.692 1.31949e-05
          34     2.69203       2.692 1.28361e-05
          35     2.69202       2.692 1.24744e-05
          36     2.69196       2.692 1.21727e-05
          37     2.69206       2.692 1.19622e-05
          38     2.69208     2.69201 1.18234e-05
          39     2.69202     2.69201 1.15238e-05
          40     2.69191       2.692 1.14988e-05
          41     2.69196       2.692 1.12652e-05
          42     2.69201       2.692 1.09977e-05
          43     2.69187       2.692 1.11338e-05
          44     2.69183       2.692 1.15262e-05
          45     2.69201       2.692  1.1272e-05
          46      2.6921       2.692 1.12427e-05
          47     2.69188       2.692 1.12663e-05
          48     2.69203       2.692   1.105e-05
          49     2.69207       2.692 1.09187e-05
          50     2.69205       2.692 1.07605e-05
          51      2.6919       2.692 1.07146e-05
          52     2.69198       2.692 1.05113e-05
          53     2.69206       2.692 1.03882e-05
          54     2.69206       2.692 1.02597e-05
          55     2.69214       2.692 1.04092e-05
          56       2.692       2.692 1.02234e-05
          57     2.69196       2.692 1.00736e-05
          58     2.69212       2.692 1.01096e-05
          59     2.69198       2.692 9.94659e-06
          60     2.69198       2.692 9.78561e-06
          61     2.69208       2.692 9.71286e-06
          62     2.69191       2.692 9.66422e-06
          63     2.69202       2.692 9.51525e-06
          64     2.69205       2.692 9.39211e-06
          65     2.69203       2.692 9.25627e-06
          66     2.69202       2.692 9.11831e-06
          67     2.69207       2.692   9.029e-06
          68     2.69202       2.692 8.90057e-06
          69     2.69202     2.69201 8.77281e-06
          70       2.692       2.692 8.64807e-06
          71       2.692       2.692 8.52641e-06
          72     2.69195       2.692 8.43736e-06
          73     2.69208     2.69201 8.37998e-06
          74     2.69205     2.69201 8.28515e-06
          75     2.69199     2.69201 8.17605e-06
          76     2.69205     2.69201 8.08814e-06
          77     2.69205     2.69201 7.99968e-06
          78     2.69197     2.69201 7.91048e-06
          79     2.69213     2.69201 7.97202e-06
          80      2.6921     2.69201   7.949e-06
          81     2.69212     2.69201 7.96136e-06
          82     2.69199     2.69201 7.86703e-06
          83     2.69204     2.69201 7.78123e-06
          84     2.69196     2.69201 7.70749e-06
          85     2.69187     2.69201 7.79703e-06
          86     2.69201     2.69201 7.70638e-06
          87     2.69201     2.69201 7.61785e-06
          88     2.69196     2.69201 7.55262e-06
          89       2.692     2.69201 7.46785e-06
          90      2.6921     2.69201 7.45781e-06
          91     2.69202     2.69201 7.37638e-06
          92     2.69213     2.69201 7.41152e-06
          93     2.69209     2.69201 7.37809e-06
          94     2.69202     2.69201 7.30013e-06
          95     2.69203     2.69201 7.22543e-06
          96     2.69197     2.69201 7.16108e-06
          97     2.69203     2.69201 7.09055e-06
          98     2.69198     2.69201 7.02694e-06
          99     2.69198     2.69201 6.96504e-06
         100     2.69202     2.69201 6.89608e-06
