#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.05095     3.05095           0
           2     3.04125      3.0461  0.00343243
           3     3.07904     3.05708  0.00925164
           4     3.18282     3.08852   0.0280949
           5     3.19859     3.11053   0.0298813
           6      3.2724     3.13751    0.035023
           7     3.35161      3.1681   0.0412681
           8     3.45145     3.20351    0.049006
           9     3.70657     3.25941   0.0683716
          10     4.19746     3.35321    0.108194
