#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.359064   -0.359064           0
           2   -0.349008   -0.354036  0.00355527
           3   -0.387398   -0.365157   0.0093842
           4   -0.490838   -0.396577   0.0281063
           5   -0.507144   -0.418691   0.0299462
           6   -0.581185   -0.445773    0.035128
           7   -0.660296   -0.476419   0.0413716
           8   -0.760817   -0.511969   0.0491555
           9    -1.01804   -0.568199   0.0687001
          10    -1.51108   -0.662488    0.108739
