#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.03397     2.03397           0
           2      2.0275     2.03073  0.00228829
           3     2.05269     2.03805  0.00616776
           4     2.12188     2.05901   0.0187299
           5     2.13239     2.07369   0.0199209
           6      2.1816     2.09167   0.0233487
           7     2.23441     2.11206    0.027512
           8     2.30096     2.13568   0.0326706
           9     2.47105     2.17294    0.045581
          10     2.79831     2.23548   0.0721295
