#   N_BLOCK:  ACCEPTANCE:
           1    0.539034
           2    0.538459
           3    0.537338
           4    0.536464
           5    0.536887
           6    0.536864
           7    0.537579
           8    0.537639
           9    0.538057
          10    0.538059
          11    0.538248
          12    0.538111
          13    0.538161
          14    0.538027
          15     0.53798
          16    0.538038
          17    0.538123
          18    0.538206
          19    0.537962
          20    0.537952
          21    0.537825
          22    0.537957
          23    0.537985
          24    0.538019
          25    0.538054
          26    0.538074
          27    0.538038
          28    0.538101
          29    0.538051
          30    0.538015
          31    0.537941
          32    0.537955
          33    0.537897
          34    0.537825
          35    0.537806
          36    0.537716
          37    0.537727
          38     0.53769
          39    0.537634
          40    0.537674
          41    0.537687
          42    0.537712
          43    0.537716
          44    0.537637
          45    0.537617
          46    0.537701
          47    0.537749
          48    0.537801
          49    0.537707
          50    0.537654
          51    0.537622
          52    0.537653
          53    0.537668
          54    0.537638
          55    0.537598
          56    0.537649
          57    0.537565
          58    0.537595
          59    0.537595
          60    0.537577
          61    0.537543
          62    0.537581
          63    0.537585
          64    0.537612
          65    0.537651
          66    0.537631
          67    0.537632
          68    0.537654
          69    0.537608
          70    0.537668
          71    0.537692
          72    0.537696
          73    0.537734
          74    0.537691
          75     0.53769
          76    0.537709
          77    0.537737
          78    0.537718
          79    0.537714
          80    0.537706
          81    0.537715
          82    0.537743
          83    0.537738
          84    0.537685
          85    0.537703
          86    0.537683
          87    0.537684
          88     0.53765
          89     0.53764
          90    0.537632
          91    0.537606
          92    0.537635
          93     0.53763
          94    0.537635
          95    0.537642
          96    0.537653
          97    0.537613
          98    0.537623
          99    0.537622
         100     0.53763
           1    0.537319
           2     0.53725
           3    0.537116
           4    0.537019
           5    0.536953
           6    0.536865
           7    0.536798
           8    0.536711
           9    0.536668
          10     0.53661
          11    0.536505
          12    0.536448
          13    0.536376
          14    0.536305
          15    0.536254
          16    0.536191
          17    0.536141
          18    0.536081
          19    0.536011
          20     0.53594
          21     0.53589
          22    0.535845
          23    0.535837
          24     0.53578
          25    0.535728
          26    0.535691
          27    0.535613
          28    0.535542
          29    0.535517
          30    0.535465
          31    0.535441
          32      0.5354
          33    0.535352
          34    0.535281
          35    0.535217
          36    0.535143
          37    0.535082
          38    0.535025
          39    0.534951
          40    0.534902
          41     0.53487
          42    0.534813
          43    0.534773
          44    0.534754
          45      0.5347
          46    0.534697
          47     0.53465
          48    0.534589
          49    0.534565
          50    0.534516
          51    0.534473
          52    0.534426
          53    0.534382
          54    0.534341
          55    0.534301
          56    0.534292
          57    0.534257
          58    0.534203
          59    0.534171
          60    0.534145
          61    0.534102
          62    0.534061
          63    0.534006
          64    0.533975
          65    0.533938
          66    0.533932
          67    0.533888
          68    0.533849
          69    0.533813
          70    0.533777
          71    0.533746
          72    0.533703
          73    0.533665
          74    0.533624
          75    0.533563
          76    0.533542
          77    0.533512
          78    0.533475
          79    0.533431
          80    0.533408
          81    0.533373
          82    0.533334
          83    0.533302
          84    0.533261
          85    0.533232
          86    0.533188
          87    0.533158
          88    0.533116
          89    0.533099
          90    0.533075
          91    0.533045
          92    0.533012
          93    0.532989
          94    0.532949
          95    0.532936
          96    0.532902
          97    0.532873
          98    0.532845
          99    0.532807
         100    0.532776
           1     0.53257
           2    0.532484
           3    0.532399
           4    0.532331
           5    0.532248
           6    0.532152
           7    0.532093
           8    0.532018
           9    0.531939
          10    0.531889
          11    0.531809
          12     0.53173
          13    0.531658
          14      0.5316
          15    0.531546
          16    0.531473
          17    0.531414
          18    0.531344
          19    0.531278
          20    0.531225
          21    0.531153
          22    0.531084
          23    0.531045
          24    0.530987
          25    0.530941
          26    0.530875
          27    0.530835
          28    0.530773
          29    0.530717
          30    0.530648
          31    0.530598
          32    0.530542
          33    0.530491
          34    0.530458
          35    0.530418
          36    0.530359
          37    0.530293
          38     0.53025
          39    0.530187
          40    0.530132
          41    0.530084
          42    0.530046
          43    0.530005
          44    0.529957
          45    0.529907
          46    0.529855
          47    0.529809
          48    0.529765
          49    0.529711
          50    0.529659
          51    0.529603
          52    0.529554
          53    0.529499
          54    0.529448
          55    0.529402
          56    0.529343
          57    0.529293
          58    0.529247
          59    0.529204
          60    0.529154
          61    0.529115
          62    0.529066
          63    0.529027
          64     0.52898
          65    0.528942
          66    0.528901
          67    0.528865
          68    0.528814
          69    0.528763
          70    0.528733
          71    0.528689
          72    0.528643
          73    0.528598
          74    0.528558
          75     0.52852
          76    0.528487
          77    0.528447
          78    0.528409
          79    0.528366
          80    0.528324
          81    0.528283
          82    0.528234
          83    0.528196
          84    0.528164
          85    0.528127
          86    0.528087
          87    0.528046
          88     0.52801
          89    0.527973
          90    0.527933
          91      0.5279
          92    0.527884
          93    0.527856
          94    0.527823
          95    0.527783
          96    0.527759
          97     0.52772
          98    0.527683
          99    0.527647
         100    0.527607
           1    0.527425
           2    0.527367
           3    0.527307
           4    0.527234
           5    0.527167
           6    0.527097
           7    0.527038
           8    0.526964
           9     0.52691
          10    0.526859
          11    0.526793
          12    0.526744
          13    0.526674
          14    0.526614
          15    0.526549
          16    0.526478
          17     0.52642
          18    0.526353
          19    0.526286
          20    0.526225
          21    0.526161
          22    0.526095
          23    0.526038
          24    0.525984
          25    0.525916
          26    0.525848
          27    0.525788
          28    0.525725
          29    0.525666
          30    0.525604
          31    0.525561
          32    0.525505
          33    0.525444
          34    0.525388
          35    0.525322
          36    0.525272
          37    0.525211
          38    0.525152
          39     0.52509
          40    0.525045
          41    0.524987
          42    0.524943
          43     0.52489
          44    0.524838
          45    0.524791
          46    0.524738
          47    0.524688
          48    0.524637
          49    0.524585
          50    0.524544
          51    0.524497
          52    0.524453
          53    0.524401
          54     0.52435
          55    0.524292
          56    0.524243
          57    0.524184
          58    0.524127
          59    0.524073
          60    0.524024
          61    0.523981
          62    0.523931
          63    0.523891
          64    0.523853
          65    0.523803
          66    0.523762
          67    0.523719
          68    0.523656
          69    0.523616
          70    0.523572
          71    0.523533
          72    0.523481
          73    0.523443
          74    0.523392
          75    0.523343
          76    0.523299
          77    0.523254
          78    0.523207
          79    0.523162
          80    0.523116
          81    0.523064
          82    0.523019
          83    0.522983
          84    0.522936
          85    0.522895
          86    0.522862
          87    0.522831
          88    0.522784
          89    0.522739
          90    0.522703
          91    0.522658
          92    0.522615
          93    0.522569
          94    0.522527
          95    0.522483
          96    0.522447
          97    0.522412
          98    0.522378
          99    0.522344
         100    0.522297
           1    0.522127
           2    0.522057
           3    0.521998
           4    0.521937
           5    0.521875
           6    0.521815
           7    0.521749
           8    0.521679
           9    0.521619
          10    0.521548
          11    0.521484
          12     0.52142
          13    0.521364
          14      0.5213
          15    0.521241
          16    0.521182
          17    0.521128
          18    0.521063
          19    0.521002
          20    0.520942
          21    0.520881
          22    0.520822
          23    0.520761
          24     0.52071
          25    0.520642
          26    0.520573
          27    0.520516
          28    0.520454
          29    0.520399
          30    0.520338
          31     0.52029
          32    0.520236
          33    0.520188
          34    0.520132
          35    0.520072
          36    0.520016
          37    0.519962
          38    0.519911
          39    0.519861
          40    0.519801
          41    0.519739
          42    0.519683
          43    0.519619
          44    0.519571
          45    0.519518
          46    0.519464
          47    0.519406
          48    0.519359
          49     0.51931
          50    0.519254
          51    0.519198
          52     0.51914
          53    0.519093
          54    0.519041
          55    0.518989
          56    0.518932
          57    0.518887
          58    0.518842
          59    0.518792
          60    0.518743
          61    0.518692
          62    0.518638
          63     0.51858
          64    0.518523
          65    0.518468
          66    0.518423
          67    0.518367
          68    0.518319
          69    0.518269
          70    0.518223
          71    0.518177
          72    0.518125
          73    0.518072
          74    0.518018
          75    0.517963
          76     0.51792
          77    0.517876
          78     0.51783
          79    0.517781
          80    0.517739
          81    0.517694
          82    0.517651
          83    0.517602
          84    0.517564
          85    0.517538
          86    0.517494
          87    0.517447
          88     0.51741
          89    0.517368
          90    0.517323
          91    0.517275
          92    0.517233
          93    0.517197
          94    0.517154
          95    0.517114
          96    0.517074
          97    0.517029
          98    0.516984
          99    0.516945
         100    0.516904
           1    0.516729
           2    0.516661
           3      0.5166
           4    0.516535
           5    0.516473
           6     0.51641
           7    0.516358
           8    0.516294
           9    0.516232
          10    0.516178
          11    0.516127
          12    0.516064
          13    0.516008
          14    0.515951
          15    0.515893
          16    0.515831
          17     0.51577
          18    0.515704
          19    0.515645
          20    0.515589
          21    0.515531
          22    0.515469
          23    0.515409
          24    0.515348
          25    0.515293
          26    0.515239
          27    0.515175
          28     0.51511
          29    0.515056
          30    0.515001
          31    0.514949
          32     0.51489
          33    0.514829
          34     0.51477
          35     0.51471
          36    0.514654
          37    0.514604
          38    0.514548
          39    0.514491
          40    0.514436
          41    0.514378
          42    0.514323
          43    0.514263
          44    0.514211
          45    0.514154
          46    0.514102
          47    0.514051
          48    0.513994
          49    0.513939
          50    0.513893
          51    0.513845
          52     0.51379
          53    0.513733
          54    0.513673
          55    0.513623
          56     0.51357
          57    0.513517
          58    0.513467
          59    0.513415
          60    0.513364
          61    0.513312
          62    0.513264
          63    0.513219
          64    0.513168
          65    0.513112
          66    0.513062
          67    0.513008
          68    0.512955
          69    0.512898
          70     0.51285
          71      0.5128
          72    0.512749
          73    0.512704
          74    0.512655
          75    0.512609
          76    0.512561
          77    0.512508
          78    0.512451
          79    0.512397
          80    0.512346
          81    0.512291
          82    0.512243
          83    0.512189
          84    0.512145
          85    0.512098
          86     0.51205
          87    0.511998
          88    0.511938
          89    0.511885
          90    0.511843
          91    0.511794
          92    0.511744
          93    0.511698
          94    0.511645
          95    0.511602
          96    0.511552
          97    0.511505
          98    0.511456
          99    0.511415
         100    0.511364
           1      0.5112
           2    0.511139
           3    0.511071
           4    0.511009
           5    0.510943
           6     0.51088
           7    0.510805
           8    0.510742
           9    0.510677
          10    0.510614
          11    0.510555
          12    0.510492
          13    0.510427
          14    0.510361
          15    0.510297
          16     0.51024
          17    0.510177
          18    0.510114
          19    0.510052
          20    0.509992
          21    0.509934
          22     0.50987
          23    0.509803
          24    0.509742
          25    0.509675
          26     0.50961
          27    0.509551
          28    0.509497
          29    0.509431
          30    0.509373
          31    0.509318
          32     0.50926
          33    0.509204
          34    0.509145
          35    0.509094
          36    0.509033
          37    0.508979
          38     0.50892
          39    0.508863
          40    0.508805
          41    0.508752
          42    0.508694
          43    0.508637
          44    0.508577
          45     0.50852
          46    0.508462
          47    0.508402
          48     0.50835
          49    0.508299
          50     0.50824
          51    0.508186
          52    0.508136
          53    0.508076
          54    0.508023
          55    0.507973
          56     0.50792
          57    0.507868
          58    0.507812
          59    0.507762
          60    0.507707
          61    0.507651
          62    0.507599
          63    0.507541
          64    0.507484
          65    0.507427
          66    0.507378
          67    0.507327
          68    0.507278
          69    0.507224
          70    0.507162
          71    0.507111
          72    0.507061
          73    0.507006
          74    0.506953
          75    0.506906
          76    0.506852
          77    0.506805
          78    0.506758
          79    0.506704
          80    0.506655
          81    0.506608
          82    0.506558
          83    0.506505
          84     0.50646
          85    0.506412
          86    0.506368
          87    0.506318
          88    0.506264
          89    0.506213
          90    0.506162
          91    0.506117
          92    0.506068
          93     0.50602
          94    0.505969
          95    0.505915
          96    0.505868
          97    0.505823
          98    0.505776
          99    0.505719
         100    0.505676
           1    0.505508
           2    0.505442
           3    0.505374
           4    0.505311
           5    0.505244
           6     0.50518
           7    0.505114
           8    0.505051
           9    0.504985
          10    0.504925
          11    0.504857
          12    0.504795
          13    0.504729
          14    0.504666
          15    0.504604
          16    0.504544
          17    0.504483
          18    0.504418
          19    0.504359
          20    0.504296
          21    0.504236
          22    0.504171
          23    0.504106
          24    0.504048
          25     0.50399
          26    0.503932
          27    0.503867
          28    0.503808
          29    0.503749
          30     0.50368
          31    0.503624
          32    0.503564
          33    0.503505
          34     0.50344
          35    0.503381
          36    0.503325
          37    0.503262
          38    0.503202
          39    0.503141
          40    0.503082
          41    0.503022
          42    0.502956
          43    0.502903
          44    0.502843
          45    0.502783
          46    0.502723
          47    0.502662
          48    0.502606
          49    0.502543
          50     0.50248
          51    0.502421
          52    0.502362
          53    0.502303
          54    0.502243
          55    0.502185
          56    0.502122
          57     0.50207
          58    0.502009
          59    0.501951
          60    0.501899
          61     0.50184
          62    0.501781
          63     0.50172
          64    0.501662
          65    0.501602
          66    0.501547
          67    0.501493
          68    0.501436
          69     0.50138
          70    0.501321
          71    0.501269
          72    0.501217
          73    0.501165
          74    0.501111
          75    0.501054
          76    0.500997
          77    0.500942
          78    0.500884
          79    0.500831
          80    0.500777
          81    0.500724
          82    0.500668
          83    0.500615
          84    0.500562
          85    0.500513
          86    0.500459
          87    0.500406
          88     0.50035
          89    0.500302
          90    0.500253
          91    0.500206
          92    0.500155
          93    0.500107
          94    0.500055
          95    0.500004
          96     0.49995
          97      0.4999
          98    0.499851
          99    0.499798
         100     0.49975
           1    0.499587
           2    0.499518
           3     0.49945
           4    0.499381
           5    0.499317
           6    0.499256
           7    0.499193
           8    0.499129
           9    0.499063
          10       0.499
          11    0.498934
          12    0.498863
          13    0.498799
          14    0.498736
          15    0.498669
          16    0.498606
          17    0.498542
          18    0.498476
          19    0.498411
          20    0.498348
          21    0.498282
          22    0.498215
          23    0.498154
          24    0.498095
          25     0.49803
          26    0.497961
          27    0.497903
          28    0.497841
          29    0.497778
          30    0.497719
          31    0.497656
          32    0.497596
          33    0.497538
          34    0.497481
          35    0.497419
          36    0.497356
          37    0.497289
          38     0.49723
          39    0.497171
          40    0.497113
          41     0.49705
          42    0.496989
          43    0.496932
          44     0.49688
          45    0.496818
          46    0.496758
          47    0.496698
          48    0.496642
          49    0.496584
          50    0.496529
          51    0.496468
          52    0.496414
          53    0.496354
          54    0.496293
          55    0.496236
          56     0.49618
          57    0.496124
          58    0.496065
          59    0.496009
          60    0.495952
          61    0.495897
          62    0.495836
          63     0.49578
          64    0.495723
          65    0.495667
          66    0.495608
          67    0.495551
          68    0.495497
          69    0.495437
          70    0.495375
          71    0.495319
          72    0.495262
          73    0.495205
          74    0.495145
          75     0.49509
          76    0.495026
          77    0.494973
          78     0.49492
          79    0.494869
          80    0.494812
          81    0.494758
          82    0.494704
          83    0.494649
          84    0.494594
          85    0.494537
          86    0.494485
          87    0.494425
          88    0.494368
          89    0.494316
          90    0.494258
          91    0.494204
          92    0.494158
          93    0.494108
          94    0.494055
          95    0.494004
          96    0.493952
          97      0.4939
          98    0.493844
          99    0.493789
         100    0.493739
           1    0.493562
           2    0.493491
           3    0.493427
           4    0.493364
           5    0.493294
           6    0.493228
           7    0.493161
           8    0.493095
           9     0.49303
          10     0.49296
          11     0.49289
          12    0.492823
          13    0.492756
          14    0.492693
          15    0.492627
          16    0.492561
          17    0.492496
          18    0.492431
          19    0.492371
          20    0.492308
          21     0.49224
          22    0.492177
          23    0.492111
          24    0.492046
          25    0.491977
          26    0.491915
          27    0.491848
          28    0.491788
          29    0.491725
          30    0.491662
          31    0.491599
          32    0.491541
          33    0.491475
          34    0.491414
          35    0.491349
          36    0.491286
          37    0.491223
          38    0.491165
          39    0.491101
          40    0.491039
          41    0.490975
          42    0.490916
          43    0.490853
          44    0.490793
          45    0.490726
          46    0.490665
          47    0.490602
          48    0.490542
          49     0.49048
          50    0.490416
          51    0.490349
          52    0.490289
          53    0.490233
          54    0.490174
          55    0.490112
          56    0.490057
          57    0.489997
          58    0.489938
          59    0.489879
          60    0.489816
          61    0.489755
          62    0.489693
          63    0.489632
          64    0.489571
          65    0.489512
          66    0.489455
          67    0.489402
          68    0.489345
          69    0.489286
          70    0.489231
          71    0.489172
          72    0.489118
          73    0.489057
          74    0.488994
          75    0.488934
          76    0.488878
          77    0.488826
          78    0.488765
          79    0.488705
          80    0.488649
          81    0.488596
          82    0.488536
          83    0.488481
          84    0.488418
          85    0.488364
          86    0.488303
          87    0.488251
          88    0.488192
          89    0.488142
          90    0.488085
          91    0.488027
