#     TEMP:   ACTUAL_M:     M_AVE:       ERROR:
           2     0.01957   0.0005125 0.000822248
        1.95    -0.00159   0.0002149 0.000769276
         1.9     0.01041   0.0002586 0.000874929
        1.85    -0.00507   0.0015039 0.000807532
         1.8     0.00425   0.0002308  0.00096995
        1.75     -0.0007  -0.0025158 0.000983388
         1.7    -0.03029   0.0002915  0.00103711
        1.65    -0.02246   -2.38e-05  0.00124932
         1.6     0.01288    -4.9e-06  0.00120403
        1.55    -0.00468   0.0005012  0.00122711
         1.5    -0.00307  -0.0002384  0.00128921
        1.45    -0.01568   0.0001862  0.00132719
         1.4     0.00569   -5.91e-05  0.00140166
        1.35    -0.01328   0.0002965  0.00165943
         1.3     -0.0141   -0.001745  0.00183598
        1.25    -0.00094  -0.0006803  0.00215887
         1.2     0.02293   0.0028115  0.00195869
        1.15     0.02436   0.0025436  0.00250474
         1.1    -0.00336   0.0006643  0.00275921
        1.05    -0.00971   0.0019901  0.00299119
           1    -0.01635  -0.0011837   0.0038689
        0.95    -0.02864  -0.0044232  0.00427931
         0.9     0.00947  -0.0093362  0.00468368
        0.85    -0.00899   0.0043513  0.00588366
         0.8     -0.0101  -0.0027951  0.00707452
        0.75    -0.11475   0.0073253   0.0101576
         0.7     0.15372   0.0206751   0.0135336
        0.65    -0.05228   0.0097359   0.0145592
         0.6    -0.16127   0.0206144   0.0207954
        0.55     0.33451   0.0306582   0.0314352
         0.5      0.1998  -0.0307971   0.0527452
