#     TEMP:   ACTUAL_M:     M_AVE:       ERROR:
           2     0.03014   0.0278566 0.000388132
        1.95     0.03603   0.0289919 0.000333892
         1.9     0.03151   0.0295983 0.000377648
        1.85     0.03535    0.031806 0.000356028
         1.8     0.03007   0.0339319 0.000379881
        1.75     0.03657   0.0360138 0.000403685
         1.7     0.03687   0.0380905 0.000437727
        1.65     0.02645   0.0406066 0.000411964
         1.6     0.04474   0.0434733 0.000415177
        1.55     0.04929   0.0469766 0.000412736
         1.5     0.04699   0.0499813 0.000497743
        1.45     0.05075   0.0549318 0.000457556
         1.4     0.06028   0.0590335 0.000402555
        1.35     0.07357   0.0649966 0.000485934
         1.3     0.07573   0.0713884 0.000452538
        1.25     0.07214   0.0784833 0.000546279
         1.2     0.08462   0.0876514  0.00049338
        1.15      0.0975   0.0979125 0.000528846
         1.1     0.10533    0.111766 0.000544407
        1.05     0.13819    0.125908 0.000614313
           1     0.14801    0.146273 0.000589122
        0.95      0.1725    0.170199  0.00064551
         0.9      0.2021    0.201434 0.000694256
        0.85     0.23803    0.239505 0.000775681
         0.8     0.27756    0.293917 0.000891687
        0.75     0.35411    0.359388  0.00128747
         0.7      0.4178    0.442633  0.00123359
        0.65     0.56791    0.550483  0.00146419
         0.6     0.67928    0.671482  0.00153381
        0.55     0.79969    0.789814   0.0018176
         0.5      0.8616    0.886703  0.00206874
