#     TEMP:   ACTUAL_CV:    CV_AVE:      ERROR:
           2    0.196694    0.196603 4.64111e-05
        1.95    0.204018     0.20425 4.13742e-05
         1.9    0.212369    0.212575 4.60779e-05
        1.85    0.221382    0.221093 5.22826e-05
         1.8    0.230223    0.230044 6.40818e-05
        1.75    0.238305    0.239411  6.3123e-05
         1.7    0.249175    0.249219 7.09898e-05
        1.65     0.26101    0.259632 7.75543e-05
         1.6    0.272177    0.270534 9.00255e-05
        1.55    0.280923    0.281704 8.11669e-05
         1.5    0.292428    0.293516 7.97759e-05
        1.45    0.303668     0.30565 0.000115298
         1.4    0.316491    0.318104 0.000109319
        1.35    0.331817    0.331135 0.000100607
         1.3    0.341624    0.344432 0.000137523
        1.25    0.359626    0.357792 0.000137592
         1.2    0.371442    0.371241 0.000174021
        1.15    0.382918    0.384498 0.000174844
         1.1    0.397326    0.396979 0.000179649
        1.05    0.411789    0.409313 0.000205573
           1      0.4178    0.420129  0.00021724
        0.95    0.435253    0.429102 0.000245263
         0.9    0.434219    0.435172 0.000258293
        0.85    0.439116     0.43882 0.000282401
         0.8    0.442395    0.438039 0.000276244
        0.75    0.438296    0.431301 0.000340033
         0.7    0.413151    0.416524 0.000429007
        0.65     0.39703    0.391405 0.000512526
         0.6    0.346777    0.349979 0.000614465
        0.55    0.276793    0.286816 0.000818019
         0.5    0.195472    0.202553 0.000691164
