#     TEMP:   ACTUAL_X:     X_AVE:       ERROR:
           2     1.40761      1.3617  0.00309435
        1.95     1.42727     1.43084  0.00333877
         1.9     1.49562     1.50775  0.00291921
        1.85     1.58971     1.59472  0.00327125
         1.8     1.71198     1.69222  0.00390275
        1.75     1.70993     1.78931  0.00370611
         1.7     1.92353     1.90876  0.00383637
        1.65     2.01252     2.04132  0.00417795
         1.6     2.14033     2.18547  0.00440705
        1.55     2.31071     2.33688   0.0044773
         1.5      2.5808     2.52858  0.00514928
        1.45     2.68888     2.73563  0.00588825
         1.4     2.99384     2.98299  0.00637627
        1.35     3.29206     3.25499  0.00704727
         1.3     3.74543     3.59197  0.00713857
        1.25     3.86939     3.95016   0.0085424
         1.2     4.33603     4.40114  0.00934816
        1.15     4.97139     4.94383   0.0105612
         1.1     5.75285     5.59012   0.0119066
        1.05      6.3573     6.40383       0.012
           1     7.30302     7.39321   0.0127498
        0.95     8.22863     8.65994   0.0165809
         0.9     10.3533     10.2341   0.0207643
        0.85     12.1046     12.3679   0.0233602
         0.8     15.4964     15.2346   0.0280545
        0.75     18.8941     19.1549   0.0374813
         0.7     24.8092     24.7101   0.0456243
        0.65     32.1163     32.7097   0.0561336
         0.6     44.6176     44.0316   0.0820208
        0.55     61.2233     59.7412    0.113275
         0.5     79.6305     79.2792   0.0871838
