#     TEMP:   ACTUAL_TE:    TE_AVE:      ERROR:
           2        -0.6        -0.6           0
           2       -0.36       -0.48   0.0848528
           2       -0.44   -0.466667   0.0576066
           2       -0.76       -0.54   0.0768115
           2        -0.6      -0.552   0.0623795
           2       -0.68   -0.573333   0.0555111
           2       -0.28   -0.531429    0.061393
           2        -0.6       -0.54   0.0543139
           2       -0.52   -0.537778   0.0483245
           2       -0.44      -0.528   0.0444702
           2       -0.36   -0.512727   0.0429701
           2       -0.44   -0.506667   0.0398144
           2       -0.28   -0.489231   0.0403895
           2       -0.52   -0.491429   0.0375643
           2       -0.36   -0.482667   0.0360674
           2       -0.12       -0.46   0.0403113
           2       -0.36   -0.454118   0.0383668
           2       -0.68   -0.466667   0.0382326
           2       -0.36   -0.461053   0.0366302
           2       -0.68      -0.472   0.0363978
           2       -0.52   -0.474286   0.0347363
           2       -0.28   -0.465455   0.0342616
           2       -0.68   -0.474783   0.0340181
           2        -0.6       -0.48   0.0329983
           2       -0.52     -0.4816   0.0317171
           2       -0.36   -0.476923   0.0308402
           2       -0.36   -0.472593   0.0300004
           2        -0.6   -0.477143    0.029272
           2       -0.28   -0.470345   0.0290413
           2       -0.52      -0.472   0.0281204
           2       -0.36   -0.468387   0.0274444
           2       -0.44     -0.4675   0.0266011
           2        -0.6   -0.471515   0.0260962
           2        -0.6   -0.475294   0.0256009
           2       -0.28   -0.469714   0.0254702
           2       -0.52   -0.471111    0.024801
           2       -0.36   -0.468108   0.0243118
           2       -0.52   -0.469474   0.0237104
           2       -0.28   -0.464615   0.0235949
           2       -0.52      -0.466   0.0230456
           2       -0.36   -0.463415   0.0226281
           2       -0.44   -0.462857   0.0220962
           2       -0.44   -0.462326   0.0215887
           2       -0.44   -0.461818    0.021104
           2       -0.52   -0.463111   0.0206746
           2       -0.44   -0.462609   0.0202313
           2       -0.36   -0.460426   0.0199183
           2       -0.44       -0.46   0.0195078
           2       -0.44   -0.459592    0.019114
           2        -0.6     -0.4624   0.0189369
           2        -0.6   -0.465098   0.0187568
           2        -0.6   -0.467692   0.0185746
           2       -0.44    -0.46717   0.0182315
           2       -0.68   -0.471111   0.0183149
           2       -0.68   -0.474909   0.0183715
           2       -0.44   -0.474286    0.018054
           2       -0.52   -0.475088   0.0177551
           2       -0.44   -0.474483   0.0174593
           2       -0.76   -0.479322   0.0178214
           2       -0.52       -0.48   0.0175373
           2       -0.52   -0.480656    0.017262
           2       -0.28   -0.477419   0.0172843
           2        -0.2   -0.473016   0.0175619
           2       -0.52    -0.47375   0.0173029
           2        -0.6   -0.475692   0.0171454
           2       -0.36   -0.473939   0.0169749
           2       -0.52   -0.474627   0.0167355
           2       -0.28   -0.471765   0.0167323
           2       -0.52   -0.472464   0.0165044
           2       -0.36   -0.470857   0.0163467
           2       -0.36   -0.469296   0.0161908
           2       -0.44   -0.468889   0.0159711
           2       -0.44   -0.468493   0.0157572
           2       -0.36   -0.467027   0.0156123
           2       -0.36     -0.4656   0.0154692
           2        -0.6   -0.467368   0.0153664
           2       -0.44   -0.467013    0.015171
           2       -0.52   -0.467692   0.0149917
           2       -0.36   -0.466329   0.0148638
           2       -0.68      -0.469    0.014916
           2        -0.6   -0.470617   0.0148193
           2        -0.6   -0.472195   0.0147223
           2       -0.44   -0.471807   0.0145501
           2       -0.52   -0.472381   0.0143881
           2       -0.44      -0.472   0.0142239
           2       -0.36   -0.470698    0.014118
           2       -0.52   -0.471264   0.0139671
           2       -0.36       -0.47   0.0138655
           2       -0.44   -0.469663   0.0137138
           2       -0.44   -0.469333   0.0135654
           2       -0.28   -0.467253   0.0135749
           2       -0.36   -0.466087   0.0134773
           2       -0.44   -0.465806   0.0133353
           2        -0.2   -0.462979     0.01349
           2       -0.44   -0.462737   0.0133501
           2       -0.36   -0.461667   0.0132539
           2        -0.6   -0.463093   0.0131938
           2       -0.28   -0.461224   0.0131907
           2        -0.6   -0.462626   0.0131318
           2        -0.6      -0.464   0.0130721
           2        -0.6   -0.465347   0.0130118
           2       -0.52   -0.465882   0.0128953
           2       -0.44   -0.465631   0.0127726
           2       -0.44   -0.465385   0.0126521
           2       -0.44   -0.465143   0.0125339
           2        -0.6   -0.466415   0.0124801
           2       -0.28   -0.464673   0.0124845
           2        -0.6   -0.465926   0.0124316
           2       -0.44   -0.465688   0.0123198
           2       -0.44   -0.465455     0.01221
           2       -0.36   -0.464505   0.0121369
           2        -0.6   -0.465714   0.0120887
           2       -0.44   -0.465487   0.0119839
           2       -0.36   -0.464561   0.0119144
           2       -0.28   -0.462957   0.0119184
           2       -0.52   -0.463448   0.0118258
           2        -0.6   -0.464615   0.0117822
           2       -0.44   -0.464407   0.0116842
           2       -0.52   -0.464874   0.0115953
           2       -0.28   -0.463333   0.0116006
           2       -0.36   -0.462479   0.0115361
           2        -0.6   -0.463607   0.0114965
           2       -0.52   -0.464065   0.0114122
           2       -0.44   -0.463871   0.0113218
           2       -0.28     -0.4624   0.0113264
           2       -0.76   -0.464762   0.0114801
           2       -0.44   -0.464567   0.0113914
           2       -0.36    -0.46375   0.0113316
           2       -0.52   -0.464186   0.0112522
           2       -0.36   -0.463385   0.0111941
           2       -0.28   -0.461985   0.0111959
           2        -0.6    -0.46303   0.0111598
           2       -0.28   -0.461654   0.0111604
           2       -0.36   -0.460896   0.0111028
           2       -0.28   -0.459556   0.0111012
           2       -0.36   -0.458824   0.0110436
           2       -0.76   -0.461022   0.0111797
           2       -0.28    -0.45971   0.0111754
           2       -0.36   -0.458993    0.011118
           2       -0.28   -0.457714   0.0111118
           2       -0.44   -0.457589   0.0110337
           2        -0.6   -0.458592   0.0110015
           2       -0.52   -0.459021    0.010933
           2       -0.28   -0.457778   0.0109275
           2        -0.6   -0.458759   0.0108961
           2       -0.28   -0.457534     0.01089
           2       -0.36   -0.456871   0.0108361
           2       -0.68   -0.458378   0.0108673
           2       -0.12   -0.456107   0.0110291
           2       -0.76   -0.458133   0.0111401
           2       -0.36   -0.457483   0.0110852
           2       -0.44   -0.457368   0.0110129
           2       -0.68   -0.458824   0.0110366
           2        -0.6    -0.45974    0.011003
           2        -0.6   -0.460645   0.0109691
           2       -0.52   -0.461026   0.0109054
           2       -0.36   -0.460382   0.0108549
           2       -0.68   -0.461772   0.0108749
           2       -0.52   -0.462138   0.0108126
           2       -0.28      -0.461   0.0108048
           2       -0.44    -0.46087   0.0107385
           2       -0.52   -0.461235   0.0106784
           2       -0.36   -0.460613   0.0106309
           2       -0.28   -0.459512    0.010623
           2        -0.6   -0.460364   0.0105927
           2       -0.28   -0.459277   0.0105844
           2        -0.6    -0.46012   0.0105546
           2       -0.44       -0.46   0.0104924
           2        -0.6   -0.460828    0.010463
