#     TEMP:   ACTUAL_CV:    CV_AVE:      ERROR:
           2    0.197307    0.196559 6.48237e-05
        1.95    0.203859    0.204392  6.0938e-05
         1.9    0.212973    0.212469 6.68739e-05
        1.85    0.220985    0.221044 8.23789e-05
         1.8    0.230205    0.230008 8.07196e-05
        1.75    0.238454    0.239465 0.000103442
         1.7    0.249979    0.249468 0.000101977
        1.65    0.260369    0.259509 0.000107057
         1.6    0.272435    0.270561 0.000129093
        1.55    0.280705    0.281766 0.000142815
         1.5    0.293776    0.293343 0.000153168
        1.45    0.303256    0.305831 0.000162097
         1.4    0.317746    0.318164 0.000197911
        1.35    0.333305    0.331361 0.000204486
         1.3    0.345776    0.344896 0.000227331
        1.25    0.353835    0.357274 0.000264235
         1.2    0.376311    0.371258  0.00031772
        1.15     0.38111    0.384147 0.000347421
         1.1    0.400726    0.397016 0.000385883
        1.05    0.407329    0.408609 0.000525569
           1    0.419051    0.419407 0.000585909
        0.95    0.431207    0.428734 0.000611774
         0.9    0.449651    0.435974 0.000882202
        0.85    0.442818    0.438061  0.00107075
         0.8    0.442871    0.436756  0.00108259
        0.75    0.443414    0.431554  0.00155227
         0.7    0.410306    0.416325  0.00171637
        0.65    0.387864    0.396356  0.00254632
         0.6    0.338975    0.349752  0.00368013
        0.55    0.233477    0.292131  0.00509397
         0.5    0.133114    0.201837  0.00675033
