#     TEMP:   ACTUAL_X:     X_AVE:       ERROR:
           2     1.36491     1.35968  0.00491954
        1.95     1.55144     1.42724  0.00542217
         1.9     1.44631     1.51178  0.00523183
        1.85     1.57787     1.58885   0.0054384
         1.8     1.77214     1.69569  0.00607091
        1.75     1.85138     1.78889  0.00642895
         1.7     1.88178     1.90394  0.00696921
        1.65      2.0039     2.05897  0.00894805
         1.6     2.07275     2.17488  0.00822494
        1.55     2.33391      2.3577   0.0104293
         1.5     2.31319     2.53327   0.0120622
        1.45     2.73379     2.74053   0.0129442
         1.4     2.86324     2.97351   0.0147787
        1.35     3.31947     3.25857   0.0154565
         1.3     4.03966     3.58376   0.0194181
        1.25     3.89312     3.95388   0.0205565
         1.2     3.99348     4.42717   0.0264624
        1.15     5.35614      4.9847   0.0325384
         1.1      4.9864     5.63965    0.037574
        1.05     6.10154     6.42524   0.0465297
           1     7.11066     7.44925   0.0630078
        0.95      8.2872     8.60227   0.0734779
         0.9     9.55767     10.3026   0.0997559
        0.85      11.796     12.4133    0.120434
         0.8     16.9047     15.3874    0.144206
        0.75     16.2221     19.2474    0.208181
         0.7     23.9159     24.4222    0.282281
        0.65     30.4292     31.7727    0.400939
         0.6     44.6498     43.9237    0.560747
        0.55     64.3703     59.1517     0.70832
         0.5     89.6234     79.4194    0.841697
