#     TEMP:   ACTUAL_TE:    TE_AVE:      ERROR:
           2     -0.4591   -0.462337  0.00028045
        1.95    -0.47416   -0.472009 0.000245549
         1.9     -0.4808    -0.48268 0.000250418
        1.85    -0.49364   -0.493427 0.000285618
         1.8    -0.50412   -0.504744 0.000259223
        1.75    -0.51936   -0.516361 0.000306879
         1.7    -0.52684   -0.528233 0.000278697
        1.65    -0.53958   -0.541737 0.000268587
         1.6    -0.55006   -0.554395 0.000297851
        1.55    -0.57062   -0.568373 0.000301953
         1.5    -0.58224    -0.58307 0.000295517
        1.45      -0.602    -0.59748 0.000285258
         1.4    -0.61418   -0.613505 0.000316108
        1.35    -0.62654   -0.629354 0.000296141
         1.3     -0.6447   -0.645846 0.000297274
        1.25    -0.66868   -0.664643 0.000310909
         1.2    -0.67684   -0.682186 0.000335396
        1.15    -0.70426   -0.701395 0.000327828
         1.1    -0.71772   -0.720833 0.000323932
        1.05    -0.74224   -0.741278 0.000390956
           1     -0.7622   -0.761957 0.000384403
        0.95    -0.78156   -0.782978 0.000352627
         0.9    -0.79736   -0.804265 0.000443979
        0.85    -0.82466   -0.826728 0.000468526
         0.8     -0.8465   -0.848799 0.000408306
        0.75    -0.86636   -0.870187 0.000501527
         0.7    -0.89384   -0.892176 0.000470729
        0.65     -0.9144   -0.912417 0.000589658
         0.6      -0.937   -0.934901 0.000708448
        0.55    -0.96404   -0.954759 0.000806841
         0.5    -0.98322   -0.974405 0.000870407
