#     TEMP:   ACTUAL_TE:    TE_AVE:      ERROR:
           2       -0.52       -0.52           0
           2       -0.44       -0.48   0.0282843
           2       -0.36       -0.44   0.0377124
           2       -0.52       -0.46   0.0331662
           2       -0.44      -0.456   0.0267731
           2       -0.52   -0.466667   0.0243432
           2       -0.52   -0.474286   0.0220257
           2       -0.68        -0.5   0.0308221
           2        -0.6   -0.511111   0.0293318
           2       -0.52      -0.512   0.0264121
           2       -0.52   -0.512727    0.024021
           2        -0.6       -0.52    0.023094
           2        -0.6   -0.526154   0.0221223
           2       -0.52   -0.525714   0.0205465
           2       -0.52   -0.525333   0.0191802
           2        -0.6       -0.53   0.0185405
           2       -0.76   -0.543529   0.0218352
           2       -0.68   -0.551111   0.0218989
           2       -0.44   -0.545263    0.021513
           2       -0.36      -0.536   0.0223428
           2       -0.28    -0.52381   0.0243787
           2       -0.28   -0.512727   0.0256662
           2        -0.6   -0.516522   0.0248292
           2        -0.6       -0.52    0.024037
           2       -0.44     -0.5168   0.0232876
           2       -0.52   -0.516923   0.0223922
           2        -0.2   -0.505185   0.0244465
           2       -0.36        -0.5   0.0241171
           2       -0.44   -0.497931    0.023374
           2       -0.52   -0.498667   0.0226065
           2       -0.44   -0.496774   0.0219563
           2       -0.36     -0.4925   0.0216822
           2       -0.52   -0.493333   0.0210412
           2        -0.2   -0.484706   0.0221204
           2        -0.2   -0.476571   0.0229354
           2       -0.28   -0.471111   0.0229391
           2       -0.44    -0.47027   0.0223345
           2        -0.6   -0.473684   0.0220061
           2       -0.68   -0.478974   0.0220686
           2       -0.44      -0.478   0.0215383
           2       -0.36   -0.475122   0.0212044
           2       -0.52    -0.47619   0.0207265
           2        -0.6    -0.47907   0.0204435
           2       -0.36   -0.476364   0.0201572
           2       -0.44   -0.475556   0.0197254
           2       -0.28   -0.471304   0.0197494
           2       -0.44   -0.470638   0.0193404
           2       -0.44       -0.47    0.018948
           2       -0.28   -0.466122   0.0189539
           2       -0.44     -0.4656   0.0185821
           2       -0.36   -0.463529   0.0183327
           2       -0.44   -0.463077   0.0179857
           2       -0.52   -0.464151   0.0176784
           2       -0.44   -0.463704   0.0173567
           2        -0.6   -0.466182   0.0172171
           2       -0.28   -0.462857   0.0172277
           2       -0.44   -0.462456   0.0169301
           2       -0.52   -0.463448   0.0166673
           2       -0.52   -0.464407   0.0164123
           2       -0.36   -0.462667   0.0162307
           2       -0.12   -0.457049   0.0169089
           2       -0.36   -0.455484   0.0167084
           2       -0.44   -0.455238    0.016445
           2       -0.52    -0.45625   0.0162192
           2       -0.52   -0.457231   0.0159993
           2       -0.36   -0.455758   0.0158245
           2       -0.44   -0.455522   0.0155901
           2       -0.12   -0.450588   0.0161227
           2        -0.2   -0.446957    0.016293
           2       -0.44   -0.446857   0.0160605
           2       -0.44   -0.446761   0.0158346
           2        -0.6   -0.448889   0.0157571
           2       -0.44   -0.448767   0.0155417
           2       -0.52    -0.44973   0.0153615
           2        -0.6   -0.451733   0.0152867
           2       -0.52   -0.452632    0.015112
           2       -0.28    -0.45039   0.0150811
           2       -0.44   -0.450256   0.0148883
           2       -0.52   -0.451139    0.014726
