#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.66474    -6.66474           0
           2    -6.54685     -6.6058   0.0416805
           3    -6.45103    -6.55421   0.0504628
           4    -6.28991    -6.48813   0.0686067
           5    -6.24694    -6.43989   0.0698136
           6    -6.22814     -6.4046   0.0665029
           7    -6.18771    -6.37362   0.0638134
           8    -6.15933    -6.34683   0.0612008
           9    -6.07485    -6.31661   0.0614101
          10    -6.00032    -6.28498   0.0628891
          11    -5.95322    -6.25482   0.0639967
          12    -5.92049    -6.22696   0.0644434
          13    -6.02219    -6.21121    0.061381
          14    -5.95571    -6.19296   0.0596482
          15    -5.95275    -6.17695   0.0577813
          16     -5.9393    -6.16209   0.0560465
          17    -5.91738     -6.1477   0.0545669
          18    -5.91361    -6.13469   0.0530626
          19    -5.81242    -6.11773   0.0529113
          20    -5.85769    -6.10473   0.0518387
          21    -5.85268    -6.09273   0.0507407
          22    -5.84874    -6.08164   0.0496315
          23    -5.86337    -6.07215   0.0483723
          24    -5.95479    -6.06726   0.0466033
          25    -5.94525    -6.06238    0.044994
          26    -5.83121    -6.05348   0.0441332
          27     -5.8478    -6.04587   0.0431511
          28    -5.93369    -6.04186   0.0417955
          29    -5.94044    -6.03836   0.0405004
          30    -5.95383    -6.03555   0.0392483
          31    -5.91107    -6.03153    0.038187
          32    -5.89064    -6.02713   0.0372467
          33    -5.87122     -6.0224   0.0364164
          34    -5.82098    -6.01648   0.0358239
          35    -5.84159    -6.01148   0.0351471
          36    -5.81488    -6.00602   0.0345925
          37    -5.79001    -6.00018   0.0341466
          38     -5.7335    -5.99316   0.0339616
          39    -5.77298    -5.98752   0.0335568
          40    -5.77602    -5.98223   0.0331318
          41    -5.72529    -5.97596    0.032911
          42    -5.65654    -5.96836   0.0329945
          43    -5.62477    -5.96037   0.0331806
          44    -5.71837    -5.95487   0.0328792
          45     -5.7024    -5.94926   0.0326237
          46    -5.72627    -5.94441   0.0322727
          47    -5.69524    -5.93911   0.0320185
          48    -5.76346    -5.93545   0.0315599
          49    -5.86397    -5.93399   0.0309495
          50    -5.82208    -5.93175   0.0304113
          51    -5.84997    -5.93015   0.0298573
          52    -5.87482    -5.92909    0.029302
          53    -5.84858    -5.92757   0.0287885
          54    -5.88756    -5.92683   0.0282649
          55     -5.8944    -5.92624   0.0277572
