#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -5.17967    -5.17967           0
           2    -5.17726    -5.17847 0.000854628
           3    -5.17331    -5.17675    0.001515
           4    -5.16783    -5.17452  0.00224064
           5    -5.16081    -5.17178  0.00303702
           6    -5.15226    -5.16852  0.00390169
           7    -5.14216    -5.16476   0.0048314
           8    -5.13051    -5.16048   0.0058232
           9    -5.11729    -5.15568  0.00687462
          10    -5.10249    -5.15036  0.00798363
          11     -5.0861    -5.14452  0.00914861
          12     -5.0681    -5.13815   0.0103683
          13    -5.04799    -5.13121   0.0116618
          14    -5.02671    -5.12375   0.0130001
          15    -5.00351    -5.11573   0.0143941
          16    -4.97813    -5.10713   0.0158568
          17    -4.95103    -5.09795   0.0173806
          18    -4.92241     -5.0882   0.0189546
          19    -4.89223    -5.07788   0.0205726
          20    -4.85951    -5.06697   0.0222536
          21    -4.82565    -5.05547    0.023978
          22    -4.78916    -5.04337   0.0257632
          23    -4.75097    -5.03066    0.027602
          24    -4.71032    -5.01731   0.0295031
          25    -4.66788    -5.00333     0.03146
          26    -4.62337    -4.98872   0.0334726
          27     -4.5765    -4.97345   0.0355446
          28    -4.52746    -4.95752   0.0376755
          29    -4.47644    -4.94093   0.0398615
          30    -4.42268    -4.92366   0.0421101
          31    -4.36684     -4.9057   0.0444175
          32     -4.3084    -4.88703   0.0467873
          33    -4.24753    -4.86765   0.0492194
          34    -4.18491    -4.84757   0.0517061
          35    -4.11977    -4.82678   0.0542493
          36    -4.05254    -4.80527   0.0568458
          37    -3.98174    -4.78301   0.0595075
          38    -3.90853       -4.76   0.0622324
          39    -3.83262    -4.73622   0.0650211
          40    -3.75303    -4.71164   0.0678827
          41    -3.67165    -4.68628   0.0708077
          42    -3.58726    -4.66011   0.0737986
          43    -3.50056    -4.63314   0.0768514
          44    -3.41108    -4.60537   0.0799662
          45    -3.31904    -4.57678   0.0831414
          46    -3.22448    -4.54739   0.0863751
          47     -3.1279    -4.51718   0.0896622
          48    -3.02839    -4.48617   0.0930043
          49      -2.926    -4.45433   0.0964025
          50    -2.82081    -4.42166    0.099857
          51    -2.71314    -4.38816    0.103366
          52     -2.6031    -4.35383    0.106926
          53    -2.49057    -4.31867    0.110537
          54    -2.37665    -4.28271    0.114191
          55    -2.25981    -4.24593    0.117889
          56    -2.14287    -4.20837    0.121619
          57    -2.02408    -4.17005    0.125377
          58    -1.90269    -4.13096    0.129166
          59    -1.78035    -4.09112    0.132979
          60    -1.65798    -4.05057    0.136807
          61    -1.53415    -4.00932    0.140646
          62    -1.40954    -3.96738    0.144493
          63    -1.28489     -3.9248    0.148341
          64    -1.16114    -3.88162    0.152178
          65    -1.03662    -3.83785    0.156005
          66   -0.912985    -3.79354    0.159812
          67   -0.789268     -3.7487    0.163596
          68   -0.666649    -3.70337    0.167351
          69   -0.545349     -3.6576     0.17107
          70   -0.425579    -3.61143    0.174746
          71   -0.306585    -3.56488    0.178376
          72   -0.190247    -3.51802    0.181952
          73  -0.0755563    -3.47086     0.18547
          74   0.0382604    -3.42344    0.188929
          75    0.149575     -3.3758    0.192322
          76    0.257003      -3.328    0.195642
          77    0.362055    -3.28007    0.198884
          78    0.464557    -3.23207    0.202045
          79    0.564827      -3.184    0.205124
          80    0.661011    -3.13594    0.208115
          81      0.7544    -3.08791    0.211015
          82    0.844359    -3.03996    0.213821
          83     0.93074    -2.99212    0.216531
          84     1.01364    -2.94443    0.219141
          85     1.09342    -2.89693    0.221652
          86     1.16803    -2.84966    0.224058
          87     1.23831    -2.80267    0.226356
          88     1.30515    -2.75599    0.228546
          89     1.36727    -2.70966    0.230626
          90     1.42531    -2.66372    0.232595
          91     1.47877     -2.6182    0.234451
          92     1.52787    -2.57313    0.236195
          93     1.57214    -2.52856    0.237823
          94     1.61306     -2.4845     0.23934
          95     1.64975    -2.44098    0.240744
          96     1.68229    -2.39803    0.242038
          97     1.71081    -2.35567    0.243221
          98     1.73594    -2.31392    0.244296
          99     1.75713     -2.2728    0.245265
         100      1.7746    -2.23232    0.246129
         101     1.78833    -2.19251    0.246891
         102     1.79927    -2.15338    0.247552
         103     1.80696    -2.11493    0.248117
         104     1.81335    -2.07716     0.24859
         105     1.81677    -2.04007    0.248973
         106     1.81919    -2.00366    0.249272
         107     1.81893    -1.96794    0.249489
         108      1.8165     -1.9329    0.249628
         109     1.81336    -1.89853    0.249693
         110     1.80996    -1.86482    0.249688
         111     1.80485    -1.83176    0.249618
         112     1.79966    -1.79933    0.249486
         113     1.79408    -1.76753    0.249297
         114     1.78853    -1.73634    0.249054
         115     1.78289    -1.70574    0.248761
         116     1.77752    -1.67571    0.248422
         117      1.7718    -1.64624     0.24804
         118     1.76653    -1.61732    0.247619
         119     1.76128    -1.58893     0.24716
         120     1.75609    -1.56105    0.246667
         121     1.75173    -1.53368    0.246144
         122     1.74723    -1.50678    0.245591
         123     1.74406    -1.48035    0.245012
         124     1.74098    -1.45437     0.24441
         125     1.73728    -1.42884    0.243784
         126     1.73387    -1.40374    0.243138
         127     1.73122    -1.37906    0.242474
         128     1.72929    -1.35477    0.241792
         129     1.72734    -1.33088    0.241096
         130     1.72603    -1.30737    0.240385
         131     1.72436    -1.28422    0.239661
         132     1.72232    -1.26145    0.238926
         133     1.72058    -1.23902    0.238179
         134     1.71935    -1.21695    0.237422
         135     1.71837     -1.1952    0.236657
         136     1.71689    -1.17379    0.235884
         137     1.71563     -1.1527    0.235103
         138     1.71481    -1.13192    0.234316
         139     1.71298    -1.11145    0.233522
         140     1.71182    -1.09129    0.232723
         141     1.70918    -1.07143    0.231919
         142      1.7077    -1.05186     0.23111
         143     1.70596    -1.03257    0.230297
         144     1.70324    -1.01357     0.22948
         145     1.70197   -0.994844     0.22866
         146     1.70046   -0.976383    0.227838
         147      1.6985   -0.958186    0.227014
         148     1.69706   -0.940245    0.226188
         149     1.69591   -0.922553    0.225361
         150     1.69433   -0.905107    0.224532
         151     1.69282   -0.887902    0.223704
         152     1.69136   -0.870933    0.222875
         153     1.68923     -0.8542    0.222045
         154     1.68763   -0.837695    0.221216
         155     1.68628   -0.821411    0.220387
         156     1.68565    -0.80534     0.21956
         157     1.68403   -0.789484    0.218733
         158     1.68306   -0.773835    0.217908
         159     1.68128   -0.758394    0.217084
         160     1.67961   -0.743157    0.216261
         161     1.67801   -0.728119     0.21544
         162     1.67501   -0.713284     0.21462
         163     1.67155   -0.698654    0.213801
         164     1.66904   -0.684216    0.212985
         165     1.66676   -0.669968     0.21217
         166     1.66301   -0.655914    0.211357
         167     1.65876   -0.642054    0.210545
         168       1.655   -0.628381    0.209735
         169     1.65079   -0.614894    0.208928
         170     1.64689    -0.60159    0.208122
         171      1.6436    -0.58846    0.207318
         172     1.63976   -0.575505    0.206517
         173     1.63546   -0.562725    0.205719
         174     1.63149   -0.550115    0.204923
         175     1.62792   -0.537669    0.204129
         176     1.62507    -0.52538    0.203339
         177      1.6211   -0.513253    0.202551
         178     1.61777   -0.501281    0.201767
         179     1.61587   -0.489454    0.200986
         180     1.61449   -0.477765    0.200209
         181     1.61394   -0.466209    0.199436
         182     1.61328   -0.454783    0.198667
         183      1.6128   -0.443485    0.197903
         184     1.61371   -0.432304    0.197143
         185     1.61578   -0.421234    0.196388
         186     1.61805    -0.41027    0.195638
         187     1.62147   -0.399405    0.194893
         188     1.62479   -0.388638    0.194154
         189     1.62895   -0.377963     0.19342
         190     1.63319   -0.367378    0.192691
         191     1.63864   -0.356875    0.191968
         192     1.64454   -0.346451    0.191251
         193     1.65034   -0.336105     0.19054
         194     1.65717    -0.32583    0.189834
         195     1.66447   -0.315624    0.189135
         196     1.67099   -0.305488    0.188442
