#     TEMP:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.83799    -3.83799           0
           2    -3.83777    -3.83788 7.50811e-05
           3    -3.83756    -3.83777 0.000100027
           4    -3.83735    -3.83767 0.000118652
           5    -3.83714    -3.83756 0.000134428
           6    -3.83692    -3.83745 0.000148564
           7     -3.8367    -3.83735 0.000161653
           8    -3.83648    -3.83724 0.000174046
           9    -3.83625    -3.83713 0.000185974
          10    -3.83602    -3.83702 0.000197601
          11    -3.83579    -3.83691 0.000209054
          12    -3.83554    -3.83679 0.000220431
          13    -3.83499    -3.83665 0.000243214
          14    -3.83473    -3.83652 0.000261709
          15    -3.83431    -3.83637   0.0002825
          16    -3.83359     -3.8362 0.000313876
          17    -3.83285      -3.836 0.000351812
          18    -3.83225    -3.83579 0.000389053
          19    -3.83179    -3.83558 0.000421757
          20    -3.83086    -3.83534 0.000461951
          21    -3.83038    -3.83511 0.000496872
          22    -3.82942    -3.83485  0.00053733
          23     -3.8286    -3.83458 0.000578547
          24    -3.82747    -3.83428 0.000625706
          25    -3.82647    -3.83397 0.000674252
          26    -3.82545    -3.83364 0.000723606
          27    -3.82426    -3.83329 0.000775756
          28    -3.82305    -3.83293 0.000829814
          29    -3.82198    -3.83255 0.000882917
          30    -3.82058    -3.83215 0.000939262
          31    -3.81932    -3.83174 0.000996005
          32    -3.81788     -3.8313   0.0010548
          33    -3.81642    -3.83085  0.00111509
          34    -3.81539     -3.8304  0.00117135
          35    -3.81434    -3.82994  0.00122444
          36    -3.81357    -3.82949  0.00127206
          37    -3.81218    -3.82902  0.00132086
          38    -3.81092    -3.82854  0.00136928
          39    -3.80964    -3.82806  0.00141736
          40    -3.80774    -3.82755  0.00147014
          41    -3.80642    -3.82703  0.00152194
          42    -3.80494    -3.82651  0.00157402
          43    -3.80374    -3.82598  0.00162401
          44    -3.80254    -3.82544  0.00167219
          45    -3.80148    -3.82491  0.00171776
          46    -3.80056    -3.82438   0.0017601
          47     -3.8001    -3.82387   0.0017969
          48    -3.79949    -3.82336  0.00182982
          49    -3.79874    -3.82286  0.00186018
          50    -3.79785    -3.82236  0.00188902
          51    -3.79697    -3.82186  0.00191642
          52    -3.79612    -3.82136  0.00194241
          53    -3.79515    -3.82087  0.00196772
          54    -3.79466    -3.82038  0.00199023
          55    -3.79361     -3.8199   0.0020127
          56    -3.79366    -3.81943  0.00203057
          57     -3.7936    -3.81897  0.00204486
          58    -3.79285    -3.81852  0.00205862
          59     -3.7923    -3.81808  0.00207117
          60    -3.79241    -3.81765  0.00208036
          61    -3.79214    -3.81723  0.00208788
          62    -3.79177    -3.81682  0.00209421
          63    -3.79162    -3.81642  0.00209882
          64    -3.79215    -3.81604  0.00210003
          65    -3.79213    -3.81568  0.00209969
          66    -3.79248    -3.81532  0.00209708
          67    -3.79245    -3.81498  0.00209339
          68    -3.79262    -3.81465  0.00208827
          69    -3.79301    -3.81434  0.00208143
          70    -3.79361    -3.81404  0.00207266
          71    -3.79381    -3.81376  0.00206297
          72    -3.79467    -3.81349  0.00205127
          73    -3.79544    -3.81325  0.00203803
