#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.47189    -5.47189           0
           2    -5.46285    -5.46737  0.00319738
           3    -5.43834     -5.4577  0.00818319
           4    -5.45769    -5.45769  0.00613739
           5    -5.49135    -5.46443  0.00776939
           6    -5.48461    -5.46779  0.00716575
           7    -5.46896    -5.46796  0.00614404
           8    -5.47118    -5.46836   0.0053892
           9     -5.4619    -5.46764  0.00483797
          10    -5.46769    -5.46765  0.00435417
          11    -5.48431    -5.46916  0.00421362
          12    -5.48223    -5.47025   0.0040008
          13    -5.47315    -5.47047  0.00369924
          14     -5.4843    -5.47146  0.00356441
          15    -5.48069    -5.47208  0.00337944
          16    -5.47632    -5.47234  0.00317859
          17    -5.46885    -5.47214  0.00299825
          18    -5.46609     -5.4718  0.00285043
          19    -5.45322    -5.47082  0.00286322
          20    -5.46423    -5.47049  0.00273896
          21    -5.44238    -5.46915  0.00291746
          22    -5.44924    -5.46825  0.00292193
          23    -5.48283    -5.46888  0.00286285
          24    -5.46762    -5.46883  0.00274404
          25    -5.48807     -5.4696  0.00274006
          26     -5.4565     -5.4691   0.0026806
          27    -5.46779    -5.46905  0.00258175
          28    -5.46347    -5.46885  0.00249723
          29    -5.47411    -5.46903  0.00241769
          30    -5.49316    -5.46983   0.0024673
          31    -5.46321    -5.46962  0.00239695
          32    -5.45134    -5.46905  0.00238912
          33    -5.46745      -5.469  0.00231722
          34    -5.45338    -5.46854  0.00229417
          35     -5.4564    -5.46819  0.00225471
          36      -5.464    -5.46808  0.00219509
          37    -5.47024    -5.46814  0.00213654
          38     -5.4438     -5.4675  0.00217422
          39    -5.46946    -5.46755  0.00211905
          40    -5.44892    -5.46708  0.00211664
          41    -5.46758    -5.46709  0.00206504
          42    -5.46103    -5.46695  0.00202091
          43    -5.45511    -5.46667  0.00199259
          44    -5.46137    -5.46655  0.00195095
          45    -5.46608    -5.46654  0.00190762
          46    -5.45392    -5.46627  0.00188579
          47    -5.46311     -5.4662  0.00184686
          48    -5.45326    -5.46593  0.00182796
          49    -5.45756    -5.46576  0.00179862
          50    -5.44723    -5.46539  0.00180043
          51    -5.46323    -5.46535  0.00176563
          52    -5.46886    -5.46541  0.00173297
          53    -5.44601    -5.46505   0.0017385
          54    -5.45743    -5.46491  0.00171202
          55    -5.44274     -5.4645  0.00172768
          56    -5.45801    -5.46439  0.00170072
          57    -5.46924    -5.46447  0.00167301
          58    -5.47344    -5.46463  0.00165129
          59    -5.44414    -5.46428  0.00165941
          60      -5.456    -5.46414  0.00163748
          61    -5.47998     -5.4644  0.00163109
          62    -5.46788    -5.46446  0.00160574
          63    -5.47755    -5.46467  0.00159364
          64    -5.45283    -5.46448  0.00157944
          65    -5.47256    -5.46461  0.00156002
          66    -5.45287    -5.46443  0.00154648
          67    -5.44708    -5.46417  0.00154492
          68    -5.47032    -5.46426  0.00152484
          69     -5.4601     -5.4642  0.00150393
          70    -5.47263    -5.46432  0.00148726
          71    -5.44571    -5.46406  0.00148923
          72    -5.46263    -5.46404  0.00146867
          73    -5.45183    -5.46387  0.00145805
          74    -5.46986    -5.46395  0.00144059
          75    -5.47102    -5.46405  0.00142447
          76    -5.45538    -5.46393  0.00141028
          77    -5.43278    -5.46353  0.00144883
          78    -5.46205    -5.46351  0.00143038
          79    -5.48621     -5.4638  0.00144085
          80    -5.45005    -5.46362  0.00143305
          81    -5.45664    -5.46354  0.00141795
          82    -5.45023    -5.46338  0.00140992
          83    -5.49323    -5.46373  0.00143808
          84     -5.4753    -5.46387  0.00142754
          85    -5.45336    -5.46375  0.00141608
          86    -5.47686     -5.4639   0.0014078
          87    -5.45442    -5.46379  0.00139583
          88    -5.47648    -5.46394  0.00138739
          89    -5.45385    -5.46382  0.00137643
          90    -5.45808    -5.46376  0.00136261
          91    -5.47802    -5.46392  0.00135661
          92    -5.47135      -5.464  0.00134427
          93    -5.47551    -5.46412   0.0013355
          94       -5.46    -5.46408  0.00132202
          95    -5.46121    -5.46405  0.00130844
          96    -5.45817    -5.46399  0.00129624
          97    -5.46471    -5.46399   0.0012829
          98    -5.46821    -5.46404  0.00127054
          99     -5.4552    -5.46395  0.00126084
         100    -5.43059    -5.46361   0.0012916
