#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.36519     1.36519           0
           2     1.40047     1.38283    0.012475
           3     1.53609     1.43391   0.0425333
           4     1.39189     1.42341    0.033172
           5     1.27471     1.39367   0.0375741
           6     1.30442      1.3788    0.034129
           7     1.39259     1.38077   0.0293103
           8     1.37003     1.37942   0.0256772
           9     1.41291     1.38314   0.0230922
          10     1.38622     1.38345    0.020785
          11     1.28217     1.37424   0.0208351
          12     1.30253     1.36827   0.0199375
          13     1.41818     1.37211   0.0187699
          14     1.30677     1.36744       0.018
          15     1.33708     1.36542   0.0169135
          16     1.32946     1.36317    0.016005
          17     1.40749     1.36578   0.0152744
          18      1.3874     1.36698   0.0144729
          19     1.41518     1.36951   0.0139318
          20     1.38829     1.37045   0.0132668
          21     1.52617     1.37787   0.0145605
          22     1.46739     1.38194    0.014456
          23     1.33075     1.37971   0.0139978
          24     1.38782     1.38005   0.0134186
          25      1.2432     1.37458   0.0139538
          26     1.44109     1.37713   0.0136496
          27     1.36262      1.3766   0.0131546
          28     1.41721     1.37805   0.0127645
          29      1.3232     1.37616   0.0124637
          30     1.23654      1.3715   0.0128878
          31     1.40844     1.37269    0.012527
          32      1.4638     1.37554   0.0124549
          33     1.41011     1.37659   0.0121215
          34     1.46662     1.37924   0.0120507
          35     1.44135     1.38101   0.0118363
          36     1.36927     1.38068    0.011512
          37     1.36678     1.38031    0.011207
          38     1.51049     1.38373   0.0114237
          39      1.3539     1.38297   0.0111564
          40     1.51194     1.38619   0.0113338
          41     1.36834     1.38576   0.0110657
          42     1.41923     1.38656   0.0108309
          43     1.46179     1.38831   0.0107194
          44     1.38667     1.38827   0.0104759
          45     1.36426     1.38773   0.0102567
          46     1.44014     1.38887   0.0100968
          47     1.40068     1.38913  0.00988506
          48     1.47582     1.39093  0.00984275
          49     1.40991     1.39132  0.00964949
          50     1.48272     1.39315  0.00962811
          51     1.45101     1.39428  0.00950593
          52     1.42918     1.39495  0.00934679
          53     1.48093     1.39657  0.00931015
          54     1.45458     1.39765   0.0091995
          55      1.4984     1.39948  0.00921281
          56     1.41137     1.39969  0.00905074
          57     1.37847     1.39932  0.00889961
          58     1.36562     1.39874  0.00876512
          59     1.51555     1.40072  0.00883733
          60     1.44744      1.4015  0.00872428
          61     1.31174     1.40003  0.00870445
          62      1.3555     1.39931  0.00859363
          63     1.28213     1.39745  0.00865617
          64     1.44864     1.39825  0.00855779
          65     1.39393     1.39818  0.00842639
          66     1.40935     1.39835  0.00830042
          67     1.45128     1.39914  0.00821404
          68      1.3621      1.3986  0.00811128
          69     1.40769     1.39873   0.0079948
          70     1.37714     1.39842  0.00788653
          71     1.46242     1.39932  0.00782681
          72     1.42686      1.3997  0.00772744
          73     1.45845     1.40051  0.00766337
          74     1.38841     1.40034  0.00756155
          75     1.39156     1.40023  0.00746164
          76     1.44209     1.40078  0.00738377
          77     1.60385     1.40342  0.00774455
          78     1.38756     1.40321  0.00764793
          79     1.28472     1.40171  0.00769679
          80     1.48236     1.40272  0.00766632
          81     1.42829     1.40304  0.00757817
          82     1.51438     1.40439  0.00760643
          83     1.26531     1.40272  0.00769715
          84     1.33303     1.40189  0.00765009
          85     1.47105      1.4027  0.00760324
          86     1.31738     1.40171  0.00757928
          87     1.44457      1.4022  0.00750816
          88     1.36104     1.40174  0.00743739
          89     1.44329      1.4022  0.00736847
          90      1.4219     1.40242  0.00728985
          91     1.36174     1.40197  0.00722343
          92     1.33882     1.40129  0.00717746
          93     1.36181     1.40086  0.00711282
          94      1.3954     1.40081  0.00703739
          95     1.39957     1.40079  0.00696333
          96     1.43502     1.40115  0.00689992
          97     1.38752     1.40101  0.00683021
          98     1.32253     1.40021   0.0068073
          99     1.41993     1.40041  0.00674145
         100     1.52384     1.40164   0.0067861
