#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.46734    -5.46734           0
           2    -5.45348    -5.46041  0.00490037
           3    -5.45737     -5.4594  0.00337034
           4    -5.45273    -5.45773  0.00291058
           5    -5.44766    -5.45572  0.00294368
           6    -5.43998     -5.4531  0.00342744
           7    -5.44901    -5.45251  0.00298697
           8    -5.47245      -5.455  0.00350235
           9    -5.45021    -5.45447  0.00315354
          10    -5.45311    -5.45434  0.00284112
          11    -5.46189    -5.45502  0.00266456
          12    -5.46826    -5.45613  0.00266094
          13    -5.47283    -5.45741  0.00274909
          14    -5.45319    -5.45711  0.00256919
          15    -5.43729    -5.45579  0.00271661
          16    -5.44533    -5.45513   0.0026243
          17    -5.47765    -5.45646  0.00278429
          18     -5.4688    -5.45714  0.00271277
          19    -5.46368    -5.45749  0.00259171
          20    -5.46784    -5.45801  0.00251326
          21    -5.46075    -5.45814  0.00239698
          22    -5.46588    -5.45849  0.00231374
          23    -5.47482     -5.4592  0.00231953
          24    -5.46614    -5.45949  0.00224086
          25     -5.4437    -5.45886  0.00223849
          26    -5.45807    -5.45883   0.0021526
          27    -5.45325    -5.45862  0.00208276
          28    -5.47627    -5.45925  0.00210159
          29    -5.44781    -5.45886  0.00206578
          30    -5.44563    -5.45841   0.0020434
          31    -5.44265    -5.45791  0.00203979
          32     -5.4511    -5.45769   0.0019871
          33    -5.45976    -5.45776  0.00192787
          34    -5.41934    -5.45663  0.00217723
          35    -5.44077    -5.45617  0.00216166
          36    -5.45725     -5.4562  0.00210182
          37    -5.44893    -5.45601  0.00205419
          38    -5.45674    -5.45603  0.00200022
          39    -5.45703    -5.45605   0.0019491
          40    -5.44242    -5.45571  0.00192992
          41    -5.46712    -5.45599   0.0019028
          42    -5.45838    -5.45605  0.00185835
          43    -5.45861    -5.45611  0.00181609
          44    -5.46791    -5.45637  0.00179452
          45    -5.47282    -5.45674  0.00179147
          46    -5.46044    -5.45682  0.00175433
          47    -5.45571     -5.4568  0.00171716
          48    -5.42994    -5.45624  0.00177018
          49    -5.46347    -5.45638  0.00174021
          50    -5.44119    -5.45608  0.00173173
          51    -5.45988    -5.45616  0.00169938
          52    -5.44003    -5.45585  0.00169477
          53    -5.44783    -5.45569  0.00166952
          54     -5.4513    -5.45561  0.00164059
          55    -5.41561    -5.45489  0.00176463
          56    -5.48019    -5.45534  0.00179003
          57    -5.46566    -5.45552  0.00176777
          58    -5.41783    -5.45487  0.00185289
          59    -5.47156    -5.45515  0.00184296
          60    -5.46278    -5.45528  0.00181663
          61    -5.42323    -5.45475  0.00186128
          62    -5.47208    -5.45503  0.00185212
          63    -5.48563    -5.45552  0.00188535
          64    -5.46662    -5.45569  0.00186386
          65    -5.46885    -5.45589  0.00184614
          66    -5.47148    -5.45613  0.00183321
          67    -5.45817    -5.45616   0.0018061
          68    -5.45323    -5.45612  0.00178006
          69     -5.4634    -5.45622  0.00175739
          70     -5.4644    -5.45634  0.00173616
          71    -5.47256    -5.45657  0.00172667
          72    -5.47971    -5.45689  0.00173235
          73     -5.4484    -5.45677  0.00171251
          74    -5.44253    -5.45658  0.00170016
          75    -5.46939    -5.45675  0.00168604
          76    -5.46063     -5.4568  0.00166462
          77    -5.48287    -5.45714  0.00167707
          78    -5.43456    -5.45685  0.00168037
          79    -5.45319    -5.45681  0.00165973
          80    -5.46588    -5.45692  0.00164286
          81    -5.46249    -5.45699  0.00162401
          82    -5.46468    -5.45708  0.00160691
          83    -5.44894    -5.45698  0.00159054
          84    -5.48943    -5.45737  0.00161783
          85    -5.45793    -5.45738  0.00159881
          86    -5.42386    -5.45699  0.00162702
          87    -5.44733    -5.45688   0.0016121
          88    -5.47472    -5.45708  0.00160648
          89    -5.45353    -5.45704  0.00158892
          90    -5.48359    -5.45733  0.00159842
          91    -5.47998    -5.45758  0.00160011
          92     -5.4838    -5.45787  0.00160789
          93    -5.44863    -5.45777  0.00159367
          94    -5.44356    -5.45762  0.00158387
          95    -5.44865    -5.45752     0.00157
          96     -5.4606    -5.45755  0.00155398
          97    -5.46021    -5.45758   0.0015382
          98    -5.44947     -5.4575  0.00152473
          99     -5.4803    -5.45773  0.00152662
         100    -5.47131    -5.45787  0.00151739
