#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.39949     1.39949           0
           2     1.50166     1.45058   0.0361219
           3     1.41761     1.43959   0.0256982
           4      1.4757     1.44862   0.0207991
           5     1.51045     1.46099   0.0199806
           6     1.46477     1.46162   0.0166604
           7     1.47762      1.4639   0.0144364
           8     1.37914     1.45331   0.0160556
           9       1.492     1.45761    0.014836
          10     1.43805     1.45565   0.0134806
          11     1.42568     1.45293   0.0125274
          12     1.40023     1.44854    0.012229
          13     1.36304     1.44196   0.0129362
          14     1.44273     1.44201   0.0120123
          15     1.45098     1.44261   0.0112264
          16     1.51948     1.44742   0.0115069
          17     1.34454     1.44136    0.012319
          18     1.45109      1.4419   0.0116465
          19     1.44867     1.44226   0.0110389
          20     1.29937     1.43512   0.0125886
          21     1.40276     1.43358    0.012083
          22     1.37435     1.43088   0.0118299
          23     1.31593     1.42589   0.0123262
          24     1.43416     1.42623   0.0118174
          25      1.4473     1.42707   0.0113747
          26     1.39394      1.4258   0.0110084
          27     1.40969      1.4252   0.0106168
          28     1.35571     1.42272   0.0105237
          29     1.46339     1.42412   0.0102539
          30     1.39047       1.423  0.00997326
          31     1.50911     1.42578   0.0100309
          32     1.39164     1.42471  0.00977402
          33     1.40417     1.42409  0.00949764
          34     1.60458      1.4294   0.0105985
          35     1.59605     1.43416   0.0113149
          36     1.46954     1.43514   0.0110432
          37     1.46112     1.43584    0.010767
          38     1.38374     1.43447   0.0105706
          39     1.41188     1.43389   0.0103154
          40     1.48853     1.43526   0.0101476
          41     1.38263     1.43398  0.00998091
          42     1.42236      1.4337   0.0097471
          43     1.43477     1.43373  0.00952046
          44     1.29938     1.43067  0.00978147
          45     1.36715     1.42926  0.00966541
          46     1.39788     1.42858  0.00947934
          47     1.45153     1.42907  0.00929022
          48     1.52275     1.43102  0.00929946
          49     1.35513     1.42947  0.00923773
          50     1.45236     1.42993  0.00906431
          51     1.48861     1.43108  0.00895932
          52     1.49443      1.4323  0.00886946
          53     1.43658     1.43238  0.00870249
          54     1.47041     1.43308  0.00856978
          55     1.57001     1.43557  0.00876813
          56      1.3674     1.43435  0.00869565
          57     1.35926     1.43304  0.00864231
          58     1.59438     1.43582  0.00892979
          59     1.36531     1.43462  0.00885805
          60     1.39309     1.43393  0.00873742
          61     1.61817     1.43695  0.00910124
          62     1.38386     1.43609  0.00899464
          63     1.29389     1.43384  0.00913071
          64     1.37458     1.43291  0.00903487
          65     1.35105     1.43165  0.00898321
          66     1.32075     1.42997   0.0090029
          67     1.44124     1.43014   0.0088701
          68      1.5388     1.43174  0.00888242
          69     1.34904     1.43054  0.00883417
          70     1.35917     1.42952  0.00876661
          71     1.34467     1.42832  0.00872421
          72     1.40947     1.42806  0.00860697
          73     1.50915     1.42917  0.00856045
          74     1.47766     1.42983  0.00846981
          75     1.35683     1.42886  0.00841261
          76     1.50114     1.42981  0.00835552
          77     1.32131      1.4284  0.00836498
          78     1.57346     1.43026  0.00846196
          79     1.44943      1.4305  0.00835833
          80     1.43401     1.43054  0.00825396
          81     1.39965     1.43016  0.00816087
          82     1.39194      1.4297  0.00807465
          83     1.35496      1.4288  0.00802741
          84     1.27333     1.42695  0.00814242
          85     1.51438     1.42797  0.00811135
          86     1.61107      1.4301  0.00829173
          87     1.42523     1.43005  0.00819661
          88      1.3547     1.42919  0.00814807
          89     1.40316      1.4289  0.00806177
          90     1.36533     1.42819  0.00800307
          91     1.37143     1.42757   0.0079394
          92     1.27396      1.4259  0.00802676
          93     1.40377     1.42566  0.00794397
          94     1.56123      1.4271   0.0079893
          95     1.48264     1.42769  0.00792657
          96     1.48799     1.42832  0.00786885
          97     1.43633      1.4284  0.00778816
          98     1.46181     1.42874  0.00771615
          99     1.28763     1.42731  0.00776874
         100     1.37855     1.42683  0.00770634
