#   N_BLOCK:  ACCEPTANCE:
           1    0.560563
           2    0.559903
           3    0.559233
           4    0.558873
           5    0.558846
           6    0.559191
           7    0.559159
           8    0.559035
           9    0.558848
          10    0.558747
          11    0.558836
          12    0.559062
          13    0.558894
          14     0.55899
          15    0.559028
          16    0.559144
          17    0.559054
          18    0.559137
          19    0.559141
          20    0.558967
          21    0.558835
          22    0.558658
          23    0.558699
          24    0.558721
          25    0.558849
          26    0.558714
          27    0.558755
          28    0.558671
          29    0.558766
          30    0.558838
          31    0.558816
          32    0.558809
          33    0.558752
          34    0.558756
          35    0.558708
          36     0.55874
          37    0.558757
          38    0.558643
          39    0.558692
          40    0.558628
          41    0.558674
          42    0.558719
          43    0.558711
          44    0.558737
          45    0.558744
          46    0.558681
          47    0.558691
          48    0.558591
          49    0.558558
          50    0.558488
          51    0.558421
          52    0.558409
          53    0.558375
          54    0.558345
          55    0.558297
          56    0.558273
          57    0.558298
          58    0.558316
          59    0.558265
          60     0.55825
          61    0.558296
          62    0.558275
          63    0.558336
          64    0.558312
          65    0.558292
          66    0.558301
          67    0.558263
          68    0.558254
          69    0.558233
          70    0.558246
          71    0.558221
          72    0.558249
          73     0.55822
          74    0.558217
          75    0.558212
          76    0.558204
          77    0.558166
          78    0.558177
          79    0.558191
          80    0.558195
          81    0.558189
          82    0.558164
          83    0.558182
          84    0.558224
          85    0.558197
          86     0.55822
          87     0.55819
          88    0.558177
          89    0.558139
          90    0.558133
          91    0.558136
          92    0.558152
          93    0.558142
          94    0.558146
          95    0.558143
          96    0.558149
          97    0.558161
          98     0.55819
          99      0.5582
         100    0.558164
