#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.6459      1.6459           0
           2     1.63285     1.63937  0.00461725
           3     1.63465      1.6378  0.00333605
           4     1.63137     1.63619  0.00286334
           5     1.62676      1.6343  0.00284545
           6     1.61937     1.63181   0.0032847
           7      1.6263     1.63103  0.00290826
           8     1.65054     1.63347  0.00341774
           9      1.6301     1.63309  0.00305835
          10     1.63179     1.63296  0.00275528
          11     1.64126     1.63372  0.00260589
          12     1.64635     1.63477  0.00259271
          13     1.65005     1.63595  0.00264638
          14     1.63395      1.6358  0.00246119
          15     1.61595     1.63448  0.00262901
          16     1.62373     1.63381  0.00254915
          17     1.65535     1.63507   0.0026958
          18     1.64816      1.6358  0.00264218
          19     1.64219     1.63614  0.00252441
          20     1.64471     1.63657  0.00243427
          21     1.64154      1.6368  0.00232983
          22     1.64433     1.63714   0.0022489
          23     1.65272     1.63782  0.00225078
          24     1.64516     1.63813  0.00217768
          25     1.62094     1.63744  0.00219637
          26     1.63556     1.63737  0.00211309
          27     1.63168     1.63716  0.00204529
          28     1.65529      1.6378  0.00207226
          29     1.62601      1.6374  0.00204031
          30     1.62454     1.63697  0.00201678
          31     1.62165     1.63648  0.00201136
          32     1.62869     1.63623  0.00196318
          33      1.6385      1.6363  0.00190489
          34     1.59823     1.63518  0.00215294
          35     1.62102     1.63478  0.00212913
          36     1.63702     1.63484   0.0020709
          37     1.62739     1.63464  0.00202469
          38     1.63435     1.63463  0.00197142
          39     1.63444     1.63462  0.00192088
          40     1.62026     1.63427  0.00190613
          41     1.64591     1.63455  0.00188068
          42     1.63664      1.6346  0.00183657
          43     1.63722     1.63466  0.00179486
          44     1.64572     1.63491  0.00177159
          45     1.65207     1.63529  0.00177276
          46       1.639     1.63537  0.00173606
          47     1.63407     1.63535  0.00169934
          48     1.60834     1.63478   0.0017546
          49     1.64147     1.63492  0.00172409
          50     1.61942     1.63461  0.00171726
          51     1.63927      1.6347  0.00168601
          52     1.61915      1.6344  0.00167991
          53     1.62603     1.63424  0.00165563
          54     1.62814     1.63413  0.00162882
          55     1.59505     1.63342  0.00174732
          56     1.65876     1.63387  0.00177372
          57      1.6427     1.63403  0.00174936
          58     1.59714     1.63339  0.00183119
          59     1.64905     1.63366  0.00181927
          60     1.64123     1.63378  0.00179332
          61     1.60328     1.63328  0.00183232
          62     1.65152     1.63358  0.00182623
          63     1.66325     1.63405    0.001857
          64     1.64467     1.63421  0.00183538
          65     1.64626      1.6344  0.00181648
          66     1.64897     1.63462  0.00180233
          67     1.63643     1.63465  0.00177563
          68     1.63048     1.63459  0.00175058
          69     1.64167     1.63469  0.00172821
          70      1.6417     1.63479  0.00170643
          71     1.65119     1.63502  0.00169796
          72     1.65791     1.63534  0.00170388
          73     1.62491      1.6352  0.00168652
          74     1.61991     1.63499  0.00167633
          75     1.64744     1.63515  0.00166218
          76     1.63927     1.63521  0.00164119
          77     1.66007     1.63553  0.00165132
          78     1.61443     1.63526  0.00165216
          79     1.63115     1.63521  0.00163206
          80     1.64362     1.63531  0.00161504
          81     1.64111     1.63539  0.00159669
          82     1.64109     1.63546  0.00157873
          83     1.62634     1.63535  0.00156353
          84     1.66884     1.63574  0.00159493
          85     1.63637     1.63575  0.00157619
          86     1.60153     1.63535  0.00160732
          87     1.62691     1.63526  0.00159177
          88     1.65247     1.63545  0.00158565
          89      1.6321     1.63541  0.00156828
          90     1.66263     1.63572  0.00157974
          91     1.65856     1.63597  0.00158219
          92     1.66189     1.63625  0.00158989
          93     1.62856     1.63617  0.00157495
          94     1.62169     1.63601  0.00156571
          95     1.62705     1.63592  0.00155207
          96     1.63961     1.63596  0.00153637
          97     1.63797     1.63598  0.00152068
          98     1.62789      1.6359   0.0015074
          99     1.65713     1.63611  0.00150736
         100     1.65008     1.63625  0.00149875
