#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.09727     1.09727           0
           2     1.08856     1.09292  0.00307817
           3     1.08977     1.09187  0.00222403
           4     1.08758     1.09079  0.00190889
           5      1.0845     1.08954  0.00189697
           6     1.07958     1.08788   0.0021898
           7      1.0842     1.08735  0.00193884
           8     1.10036     1.08898  0.00227849
           9     1.08674     1.08873   0.0020389
          10     1.08786     1.08864  0.00183686
          11     1.09417     1.08914  0.00173726
          12     1.09757     1.08985  0.00172847
          13     1.10003     1.09063  0.00176426
          14      1.0893     1.09054  0.00164079
          15      1.0773     1.08965  0.00175267
          16     1.08248      1.0892  0.00169944
          17     1.10357     1.09005   0.0017972
          18     1.09877     1.09053  0.00176146
          19     1.09479     1.09076  0.00168294
          20     1.09647     1.09104  0.00162285
          21     1.09436      1.0912  0.00155322
          22     1.09622     1.09143  0.00149927
          23     1.10181     1.09188  0.00150052
          24     1.09677     1.09208  0.00145178
          25     1.08063     1.09163  0.00146425
          26     1.09037     1.09158  0.00140873
          27     1.08779     1.09144  0.00136353
          28     1.10353     1.09187  0.00138151
          29     1.08401      1.0916  0.00136021
          30     1.08303     1.09131  0.00134452
          31      1.0811     1.09098   0.0013409
          32     1.08579     1.09082  0.00130879
          33     1.09233     1.09087  0.00126992
          34     1.06549     1.09012   0.0014353
          35     1.08068     1.08985  0.00141942
          36     1.09135     1.08989   0.0013806
          37     1.08493     1.08976  0.00134979
          38     1.08957     1.08975  0.00131428
          39     1.08962     1.08975  0.00128059
          40     1.08017     1.08951  0.00127075
          41     1.09727      1.0897  0.00125379
          42      1.0911     1.08973  0.00122438
          43     1.09148     1.08977  0.00119658
          44     1.09715     1.08994  0.00118106
          45     1.10138      1.0902  0.00118184
          46     1.09267     1.09025  0.00115737
          47     1.08938     1.09023   0.0011329
          48     1.07223     1.08986  0.00116973
          49     1.09431     1.08995  0.00114939
          50     1.07961     1.08974  0.00114484
          51     1.09285      1.0898  0.00112401
          52     1.07943      1.0896  0.00111994
          53     1.08402      1.0895  0.00110375
          54     1.08543     1.08942  0.00108588
          55     1.06337     1.08895  0.00116488
          56     1.10584     1.08925  0.00118248
          57     1.09513     1.08935  0.00116624
          58     1.06476     1.08893  0.00122079
          59     1.09936      1.0891  0.00121285
          60     1.09415     1.08919  0.00119555
          61     1.06885     1.08886  0.00122155
          62     1.10102     1.08905  0.00121749
          63     1.10884     1.08937    0.001238
          64     1.09644     1.08948  0.00122359
          65     1.09751      1.0896  0.00121099
          66     1.09932     1.08975  0.00120155
          67     1.09096     1.08977  0.00118376
          68     1.08699     1.08972  0.00116705
          69     1.09444     1.08979  0.00115214
          70     1.09447     1.08986  0.00113762
          71      1.1008     1.09001  0.00113198
          72     1.10527     1.09023  0.00113592
          73     1.08327     1.09013  0.00112434
          74     1.07994     1.08999  0.00111755
          75     1.09829      1.0901  0.00110812
          76     1.09284     1.09014  0.00109413
          77     1.10671     1.09035  0.00110088
          78     1.07629     1.09017  0.00110144
          79     1.08744     1.09014  0.00108804
          80     1.09574     1.09021  0.00107669
          81     1.09408     1.09026  0.00106446
          82     1.09406      1.0903  0.00105249
          83     1.08423     1.09023  0.00104235
          84     1.11256      1.0905  0.00106329
          85     1.09091      1.0905  0.00105079
          86     1.06768     1.09024  0.00107155
          87     1.08461     1.09017  0.00106118
          88     1.10164      1.0903   0.0010571
          89     1.08807     1.09028  0.00104552
          90     1.10842     1.09048  0.00105316
          91      1.1057     1.09065  0.00105479
          92     1.10793     1.09083  0.00105993
          93      1.0857     1.09078  0.00104997
          94     1.08112     1.09068  0.00104381
          95      1.0847     1.09061  0.00103471
          96     1.09307     1.09064  0.00102425
          97     1.09198     1.09065  0.00101378
          98     1.08526      1.0906  0.00100493
          99     1.10475     1.09074  0.00100491
         100     1.10006     1.09083 0.000999165
