#     TEMP:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.82144    -3.82144           0
           2    -3.82064    -3.82104 0.000283121
           3    -3.82272     -3.8216 0.000494993
           4    -3.82136    -3.82154 0.000374674
           5    -3.82091    -3.82141 0.000320319
           6    -3.82062    -3.82128 0.000292941
           7    -3.82271    -3.82148 0.000314313
           8    -3.82191    -3.82154 0.000279516
           9     -3.8201    -3.82138 0.000290471
          10    -3.82132    -3.82137 0.000261482
          11    -3.82064    -3.82131 0.000246143
          12     -3.8219    -3.82136 0.000230635
          13    -3.82278    -3.82147 0.000237473
          14    -3.81924    -3.82131 0.000268405
          15    -3.82134    -3.82131 0.000250519
          16     -3.8216    -3.82133 0.000235533
          17    -3.82231    -3.82138  0.00022862
          18    -3.82065    -3.82134 0.000219549
          19    -3.82149    -3.82135 0.000208135
          20    -3.82313    -3.82144 0.000215941
          21    -3.81922    -3.82133 0.000230179
          22    -3.82156    -3.82134 0.000219935
          23     -3.8221    -3.82138 0.000212805
          24    -3.82098    -3.82136 0.000204575
          25    -3.82275    -3.82142 0.000203825
          26    -3.82251    -3.82146 0.000200282
          27    -3.82157    -3.82146 0.000192905
          28    -3.82098    -3.82145 0.000186795
          29     -3.8218    -3.82146  0.00018076
          30    -3.82109    -3.82145 0.000175152
          31      -3.821    -3.82143 0.000170093
          32    -3.82241    -3.82146 0.000167527
          33    -3.82126    -3.82146 0.000162561
          34    -3.82111    -3.82145 0.000158097
          35    -3.81975     -3.8214 0.000160812
          36    -3.82023    -3.82136 0.000159572
          37    -3.82154    -3.82137 0.000155327
          38    -3.82239     -3.8214 0.000153533
          39    -3.82259    -3.82143 0.000152639
          40    -3.82216    -3.82145 0.000149929
          41    -3.82121    -3.82144 0.000146384
          42    -3.82174    -3.82145 0.000143071
          43    -3.82139    -3.82145 0.000139749
          44    -3.82219    -3.82146 0.000137589
          45    -3.82075    -3.82145 0.000135429
          46    -3.82144    -3.82145 0.000132485
          47    -3.82164    -3.82145 0.000129731
          48     -3.8216    -3.82145 0.000127067
          49      -3.822    -3.82146 0.000124968
          50    -3.82177    -3.82147  0.00012262
          51    -3.82061    -3.82145 0.000121366
          52    -3.82088    -3.82144 0.000119536
          53     -3.8218    -3.82145 0.000117475
          54    -3.82316    -3.82148 0.000119485
          55    -3.82056    -3.82146 0.000118488
          56    -3.82143    -3.82146 0.000116374
          57    -3.82296    -3.82149 0.000117263
          58    -3.82069    -3.82148 0.000116046
          59    -3.82252    -3.82149 0.000115406
          60    -3.82156     -3.8215 0.000113488
          61    -3.81995    -3.82147 0.000114421
          62    -3.82056    -3.82146 0.000113517
          63    -3.82238    -3.82147 0.000112662
          64    -3.82196    -3.82148  0.00011116
          65    -3.82259    -3.82149 0.000110754
          66    -3.82251    -3.82151 0.000110131
          67    -3.82174    -3.82151 0.000108541
          68    -3.82275    -3.82153 0.000108468
          69    -3.82174    -3.82153 0.000106938
          70     -3.8227    -3.82155 0.000106688
          71    -3.82137    -3.82155 0.000105217
          72     -3.8218    -3.82155 0.000103814
          73    -3.82349    -3.82158 0.000105741
          74    -3.82262    -3.82159 0.000105242
          75    -3.82195     -3.8216 0.000103943
          76    -3.82136    -3.82159 0.000102622
          77     -3.8228    -3.82161 0.000102473
          78    -3.82013    -3.82159 0.000102905
          79    -3.82204     -3.8216 0.000101759
          80    -3.82226     -3.8216 0.000100826
          81    -3.82138     -3.8216 9.96203e-05
          82    -3.82359    -3.82163 0.000101301
          83     -3.8226    -3.82164 0.000100763
          84    -3.82059    -3.82163 0.000100327
          85    -3.82157    -3.82163 9.91494e-05
          86    -3.82234    -3.82163 9.83418e-05
          87    -3.82042    -3.82162 9.82001e-05
          88    -3.82225    -3.82163 9.73464e-05
          89    -3.82143    -3.82162 9.62769e-05
          90    -3.82096    -3.82162 9.54899e-05
          91    -3.82142    -3.82161 9.44641e-05
          92     -3.8219    -3.82162 9.34894e-05
          93    -3.82007     -3.8216 9.39464e-05
          94    -3.82187     -3.8216 9.29903e-05
          95     -3.8216     -3.8216 9.20114e-05
          96    -3.82099     -3.8216 9.12721e-05
          97    -3.82224     -3.8216 9.05745e-05
          98    -3.82159     -3.8216 8.96505e-05
          99    -3.82317    -3.82162 9.01311e-05
         100    -3.82123    -3.82162 8.93134e-05
